SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,61 E 86th St #64,New York,NY,10028,2000000,3,2,Upper East Side,,,1899,2,,,Active,,,http://www.redfin.com/NY/New-York/61-E-86th-St-10028/home/160756525,REBNY,SEEK1164975,N,Y,40.7807591,-73.9579098
MLS Listing,,Condo/Co-op,310 W 113th St #302,New York,NY,10026,1865000,3,2.5,West Harlem,1459,,2019,3,1278,,Active,,,http://www.redfin.com/NY/New-York/310-W-113th-St-10026/home/169770964,REBNY,UCOM1865283,N,Y,40.802638,-73.9575642
MLS Listing,,Multi-Family (2-4 Unit),378 Ralph Ave,Brooklyn,NY,11213,2000000,4,2.75,Brooklyn,4400,1770,1920,4,455,,Active,,,http://www.redfin.com/NY/Brooklyn/378-Ralph-Ave-11233/home/167135115,BNYMLS,435819,N,Y,40.6758979,-73.9221239
MLS Listing,,Condo/Co-op,230 Riverside Dr Unit 17D,New York,NY,10025,1999000,3,2,Upper West Side,,,1931,4,,,Active,,,http://www.redfin.com/NY/New-York/230-Riverside-Dr-10025/home/45195742,REBNY,CORC5951638,N,Y,40.7954592,-73.9753123
MLS Listing,,Condo/Co-op,325 Riverside Dr #42,New York,NY,10025,1750000,3,2,Upper West Side,,,1920,5,,,Active,,,http://www.redfin.com/NY/New-York/325-Riverside-Dr-10025/home/45164406,REBNY,CORC5957402,N,Y,40.8013016,-73.9705478
MLS Listing,,Single Family Residential,15 Chipperfield Ct,Staten Island,NY,10304,1999000,5,6,Todt Hill,4992,9984,2005,5,400,,Active,,,http://www.redfin.com/NY/Staten-Island/15-Chipperfield-Ct-10301/home/56109283,SIBORMLS,1134719,N,Y,40.6041346,-74.1090159
MLS Listing,,Multi-Family (2-4 Unit),230 Utica Ave,Brooklyn,NY,11213,2000000,4,2.5,Brooklyn,3135,1520,1928,6,638,,Active,,,http://www.redfin.com/NY/Brooklyn/230-Utica-Ave-11213/home/167135114,BNYMLS,435778,N,Y,40.6709234,-73.9311485
MLS Listing,,Single Family Residential,2348 Royce St,Brooklyn,NY,11234,1998000,5,3.5,Brooklyn,4860,6000,1999,7,411,,Active,,,http://www.redfin.com/NY/Brooklyn/2348-Royce-St-11234/home/40900451,BNYMLS,435718,N,Y,40.6173396,-73.9001348
MLS Listing,,Single Family Residential,701 Johnston Ter,Staten Island,NY,10309,1800000,3,5,Princes Bay,4000,8000,2015,7,450,,Active,,,http://www.redfin.com/NY/Staten-Island/701-Johnston-Ter-10309/home/77401555,SIBORMLS,1134618,N,Y,40.512958,-74.2048294
MLS Listing,,Multi-Family (2-4 Unit),63-06 138th St,Flushing,NY,11367,1860000,4,2.5,Flushing,,6000,1950,7,,,Active,,,http://www.redfin.com/NY/Flushing/63-06-138th-St-11367/home/20828824,MLSLI,3189526,N,Y,40.739765,-73.8284819
