SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,53 Ridge Ave,Staten Island,NY,10304,929000,3,3,Dongan Hills Colony,1536,4399,1975,1,605,,Active,,,http://www.redfin.com/NY/Staten-Island/53-Ridge-Ave-10304/home/56050921,SIBORMLS,1134827,N,Y,40.6003592,-74.0981414
MLS Listing,,Townhouse,43 Ramblewood Ave,Staten Island,NY,10308,934900,3,3,Great Kills,2691,3800,2019,1,347,,Active,,,http://www.redfin.com/NY/Staten-Island/43-Ramblewood-Ave-10308/home/164421013,SIBORMLS,1134803,N,Y,40.543816,-74.15296
MLS Listing,,Multi-Family (2-4 Unit),2044 E 68 St,Brooklyn,NY,11234,935000,6,2.75,Brooklyn,3090,2000,,1,303,,Active,,,http://www.redfin.com/NY/Brooklyn/2044-E-68-St-11234/home/40898911,BNYMLS,435883,N,Y,40.6189505,-73.9106876
MLS Listing,,Multi-Family (2-4 Unit),1665 Bayshore Ave,Bronx,NY,10465,948000,5,2,Bronx,2912,2840,1960,1,326,,Active,,,http://www.redfin.com/NY/The-Bronx/1665-Bay-Shore-Ave-10465/home/44787246,HGMLS,6003673,N,Y,40.8481354,-73.8166112
MLS Listing,,Multi-Family (2-4 Unit),145-11 11th Ave,Whitestone,NY,11357,925000,4,2,Whitestone,1740,2383,1950,3,532,,Active,,,http://www.redfin.com/NY/Flushing/145-11-11th-Ave-11357/home/20867332,MLSLI,3190999,N,Y,40.790297,-73.820786
MLS Listing,,Multi-Family (2-4 Unit),91-52 116th St,Richmond Hill,NY,11418,948000,10,4,Richmond Hill,,2364,1920,4,,,Active,,,http://www.redfin.com/NY/Richmond-Hill/9152-116th-St-11418/home/40223514,MLSLI,3190718,N,Y,40.693643,-73.830927
MLS Listing,,Townhouse,28 Endor Ave,Staten Island,NY,10301,949000,5,4,Todt Hill,2440,3822,1970,4,389,,Active,,,http://www.redfin.com/NY/Staten-Island/28-Endor-Ave-10301/home/56116519,SIBORMLS,1134751,N,Y,40.6084496,-74.1008945
MLS Listing,,Townhouse,187 Woodvale Ave,Staten Island,NY,10309,909500,4,4,Princes Bay,2070,4750,1999,4,439,,Active,,,http://www.redfin.com/NY/Staten-Island/187-Woodvale-Ave-10309/home/56078025,SIBORMLS,1134742,N,Y,40.5200308,-74.2089102
MLS Listing,,Single Family Residential,728 151 Pl,Whitestone,NY,11357,929000,3,1.5,Whitestone,,2945,1940,5,,,Active,,,http://www.redfin.com/NY/Flushing/7-28-151st-Pl-11357/home/20868458,MLSLI,3190420,N,Y,40.794268,-73.811941
MLS Listing,,Single Family Residential,1963 79 St,Brooklyn,NY,11214,928000,4,1.5,Brooklyn,1312,1683,1925,5,707,,Active,,,http://www.redfin.com/NY/Brooklyn/1963-79th-St-11214/home/40826654,BNYMLS,435799,N,Y,40.6090646,-73.9946301
