SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,166-25 Powells Cove Blv Unit 5E,Beechhurst,NY,11357,610000,2,2,Cryder House,1500,,1961,3,407,,Active,,,http://www.redfin.com/NY/Whitestone/166-25-Powells-Cove-Blvd-11357/unit-5E/home/20654478,MLSLI,3190885,N,Y,40.7944231,-73.796598
MLS Listing,,Single Family Residential,108-12 Inwood St,Jamaica,NY,11435,649000,2,2.5,Jamaica,,4000,1930,3,,,Active,,,http://www.redfin.com/NY/Jamaica/108-12-Inwood-St-11435/home/20714536,MLSLI,3190765,N,Y,40.689563,-73.802985
MLS Listing,,Single Family Residential,60 Gotham Ave,Brooklyn,NY,11229,629000,2,2.25,Brooklyn,1022,2080,1960,4,615,,Active,,,http://www.redfin.com/NY/Brooklyn/60-Gotham-Ave-11229/home/40910619,BNYMLS,435810,N,Y,40.5901947,-73.9263492
MLS Listing,,Multi-Family (2-4 Unit),81-33 Liberty Ave,Ozone Park,NY,11417,609000,2,3,Ozone Park/Tudor Village,,479,1920,5,,,Active,,,http://www.redfin.com/NY/Jamaica/81-33-Liberty-Ave-11417/home/20778936,MLSLI,3190201,N,Y,40.6796524,-73.8560092
MLS Listing,,Condo/Co-op,63-60 102nd St Unit E-11,Rego Park,NY,11374,619000,2,1,New Hamshire,1000,36800,1949,6,619,495,Active,,,http://www.redfin.com/NY/Flushing/6360-102nd-St-11374/unit-E11/home/20914789,MLSLI,3190088,N,Y,40.7319691,-73.8541569
MLS Listing,,Condo/Co-op,Unit at 1825 Foster Ave,Brooklyn,NY,11226,625000,2,1,Ditmas Park,,,,6,,,Active,,,http://www.redfin.com/NY/Brooklyn/1825-Foster-Ave-11230/home/170224258,REBNY,DEGI4067197,N,Y,40.6358399,-73.9598414
MLS Listing,,Condo/Co-op,133-36 41st Rd Unit 12A,Flushing,NY,11355,648888,2,2,Main Street Plaza,792,,1987,10,819,707,Active,,,http://www.redfin.com/NY/Flushing/133-36-41st-Rd-11355/unit-12A/home/20856139,MLSLI,3189161,N,Y,40.7570768,-73.8296428
MLS Listing,,Condo/Co-op,90-20 55 Ave Unit 2B,Elmhurst,NY,11373,625000,2,2,Elmwood-Garden,,,2005,13,,463,Active,,,http://www.redfin.com/NY/Flushing/9020-55th-Ave-11373/unit-2B/home/20663377,MLSLI,3188279,N,Y,40.7367231,-73.8721827
MLS Listing,,Condo/Co-op,Unit at 185 Clinton Ave,Brooklyn,NY,11205,650000,2,1,Clinton Hill,,,,15,,,Active,,,http://www.redfin.com/NY/Brooklyn/185-Clinton-Ave-11205/home/40680948,REBNY,UCOM840387,N,Y,40.6925557,-73.968402
MLS Listing,,Condo/Co-op,638 50 St Unit 3A,Brooklyn,NY,11220,628000,2,1,Brooklyn,579,,2011,17,1085,,Active,,,http://www.redfin.com/NY/Brooklyn/638-50th-St-11220/unit-3A/home/40927903,BNYMLS,435550,N,Y,40.6430541,-74.0073124
MLS Listing,,Condo/Co-op,83-71 116th St Unit 5A,Kew Gardens,NY,11415,618000,2,1.5,Century Condominium,1200,,2004,17,515,440,Active,,,http://www.redfin.com/NY/Richmond-Hill/83-71-116th-St-11418/unit-5A/home/20662881,MLSLI,3187847,N,Y,40.7045515,-73.8356119
