SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,22 Ely Ave,Staten Island,NY,10312,759900,4,2,Annandale,2300,5203,1965,60,330,,Active,,,http://www.redfin.com/NY/Staten-Island/22-Ely-Ave-10312/home/56121479,SIBORMLS,1133798,N,Y,40.538605,-74.1805456
MLS Listing,,Townhouse,60-64 71 St,Maspeth,NY,11378,789000,3,2,Maspeth,,1800,1945,1,,,Active,January-19-2020 12:00 PM,January-19-2020 04:00 PM,http://www.redfin.com/NY/Flushing/60-64-71st-St-11378/home/20902788,MLSLI,3191399,N,Y,40.721693,-73.887891
MLS Listing,,Condo/Co-op,2012 Jerome Ave Unit 1B,Brooklyn,NY,11235,789000,3,2,Brooklyn,1221,,2006,1,646,,Active,,,http://www.redfin.com/NY/Brooklyn/2012-Jerome-Ave-11235/unit-1B/home/40646034,BNYMLS,435879,N,Y,40.5880109,-73.9487867
MLS Listing,,Single Family Residential,99-51 Russell St,Howard Beach,NY,11414,799000,4,3.5,Hamilton Beach,3800,4368,1930,1,210,,Active,,,http://www.redfin.com/NY/Jamaica/99-51-Russell-St-11414/home/20679570,MLSLI,3191277,N,Y,40.654995,-73.8313
MLS Listing,,Townhouse,608 Jarvis Ave,Far Rockaway,NY,11691,799000,4,3.5,Far Rockaway,,2859,1965,1,,,Active,,,http://www.redfin.com/NY/Far-Rockaway/6-08-Jarvis-Ave-11691/home/20678875,MLSLI,3191239,N,Y,40.598698,-73.7407039
MLS Listing,,Condo/Co-op,107-40 Queens Blvd Unit 7BC,Forest Hills,NY,11375,788000,3,3,Lane Towers,1400,,1965,1,563,,Active,,,http://www.redfin.com/NY/Unknown/10740-Queens-Blvd-11375/unit-7Bc/home/144516504,MLSLI,3191231,N,Y,40.7212937,-73.8450003
MLS Listing,,Single Family Residential,88-18 Hollis Court Blvd,Queens Village,NY,11427,799999,4,2.5,Queens Village,,4603,1925,2,,,Active,,,http://www.redfin.com/NY/Jamaica/88-18-Hollis-Ct-Blvd-11427/home/20744967,MLSLI,3191167,N,Y,40.7231987,-73.7541307
MLS Listing,,Single Family Residential,89-80 212 Pl,Queens Village,NY,11427,799000,4,2.5,Queens Village  North,,3500,1930,3,,,Active,,,http://www.redfin.com/NY/Queens-Village/89-80-212th-Pl-11427/home/20743919,MLSLI,3191019,N,Y,40.722193,-73.750161
MLS Listing,,Townhouse,523 Eldert Ln,Brooklyn,NY,11208,778000,3,2,Brooklyn,,1834,1920,3,,,Active,,,http://www.redfin.com/NY/Brooklyn/523-Eldert-Ln-11208/home/40764910,MLSLI,3190798,N,Y,40.678188,-73.864683
MLS Listing,,Single Family Residential,79-35 209th St,Bayside,NY,11364,799000,4,1.5,Oakland Gardens,,4000,1939,3,,,Active,,,http://www.redfin.com/NY/Flushing/79-35-209th-St-11364/home/20803736,MLSLI,3190752,N,Y,40.733852,-73.761715
