SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,136-76 71st Rd,Flushing,NY,11367,710000,2,2,Flushing,,1600,1940,1,,,Active,January-19-2020 01:00 PM,January-19-2020 02:30 PM,http://www.redfin.com/NY/Flushing/136-76-71st-Rd-11367/home/20830034,MLSLI,3191390,N,Y,40.7264047,-73.8246585
MLS Listing,,Condo/Co-op,Unit at 433 W 34th St,New York,NY,10001,740000,1,1,Middle West Side,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/433-W-34th-St-10001/home/45144219,REBNY,UCOM163825,N,Y,40.754253,-73.9978162
MLS Listing,,Condo/Co-op,Unit at 42 -14 Crescent St,Queens,NY,11101,725000,1,1,Long Island City,,,,3,,,Active,,,http://www.redfin.com/NY/Long-Island-City/42-Crescent-St-11101/home/170267402,REBNY,MNSM1865333,N,Y,40.7504388,-73.9407134
MLS Listing,,Condo/Co-op,Unit at 61 Lexington Ave,New York,NY,10010,747500,0,1,Middle East Side,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/61-Lexington-Ave-10010/home/170240643,REBNY,UCOM1865124,N,Y,40.7408555,-73.9835123
MLS Listing,,Condo/Co-op,Unit at 205 Clinton Ave,Brooklyn,NY,11205,700000,2,1,Clinton Hill,,,,4,,,Active,,,http://www.redfin.com/NY/Brooklyn/205-Clinton-Ave-11205/home/40666328,REBNY,CORC5960784,N,Y,40.6917102,-73.968283
MLS Listing,,Condo/Co-op,Unit at 575 Fourth Ave,Brooklyn,NY,11215,715000,1,1,Park Slope,,,,6,,,Active,,,http://www.redfin.com/NY/Brooklyn/575-4th-Ave-11215/home/170226616,REBNY,DEGI3778666,N,Y,40.6655513,-73.9922171
MLS Listing,,Condo/Co-op,2126-2142 Gerritsen Ave #101,Brooklyn,NY,11229,738000,2,2,Brooklyn,1230,,2018,6,600,,Active,January-18-2020 01:00 PM,January-18-2020 03:00 PM,http://www.redfin.com/NY/Unknown/2126-Gerritsen-Ave-11229/unit-101/home/145744971,BNYMLS,435772,N,Y,40.602666,-73.936339
MLS Listing,,Condo/Co-op,Unit at 61 W 62nd St,New York,NY,10023,720000,1,1,Upper West Side,,,,6,,,Active,,,http://www.redfin.com/NY/New-York/61-W-62nd-St-10023/home/45319096,REBNY,CORC5945823,N,Y,40.771079,-73.9827734
MLS Listing,,Single Family Residential,24-16 92nd St,E. Elmhurst,NY,11369,715000,2,2,E. Elmhurst,1536,2142,1939,6,465,,Active,,,http://www.redfin.com/NY/Flushing/24-16-92nd-St-11369/home/20940938,MLSLI,3189980,N,Y,40.765296,-73.87793
MLS Listing,,Condo/Co-op,244 Madison Ave,New York,NY,10016,750000,1,1,Murray Hill Kips Bay,,,,6,,,Active,,,http://www.redfin.com/NY/New-York/244-Madison-Ave-10016/home/45174664,REBNY,SOTH2865946,N,Y,40.7501409,-73.9814937
MLS Listing,,Condo/Co-op,Unit at 100 Beekman St,New York,NY,10038,700000,1,1,Financial District,,,,6,,,Active,,,http://www.redfin.com/NY/New-York/100-Beekman-St-10038/home/170224266,REBNY,ASHW2865522,N,Y,40.7085603,-74.0033972
MLS Listing,,Condo/Co-op,Unit at 333 E 66th St,New York,NY,10065,750000,2,1,Upper East Side,,,,7,,,Active,,,http://www.redfin.com/NY/New-York/333-E-66th-St-10065/home/45229786,REBNY,LLGI2865741,N,Y,40.7644155,-73.95918
MLS Listing,,Condo/Co-op,Unit at 14 Horatio St,New York,NY,10014,715000,0,1,West Village,,,,7,,,Active,,,http://www.redfin.com/NY/New-York/14-Horatio-St-10014/home/45143073,REBNY,SOTH2865712,N,Y,40.7385669,-74.0033414
MLS Listing,,Condo/Co-op,Unit at 245 E 35th St,New York,NY,10016,745000,1,1,Middle East Side,,,,7,,,Active,,,http://www.redfin.com/NY/New-York/245-E-35th-St-10016/home/45147967,REBNY,DEGI4067382,N,Y,40.7458606,-73.9759593
MLS Listing,,Condo/Co-op,Unit at 1270 Fifth Ave,New York,NY,10029,725000,2,1,Upper East Side,,,,7,,,Active,,,http://www.redfin.com/NY/New-York/1270-5th-Ave-10029/home/142102506,REBNY,CORC5949527,N,Y,40.7956049,-73.9496212
MLS Listing,,Condo/Co-op,Unit at 35 -55 76th St,Queens,NY,11372,749000,2,2,Jackson Heights,,,,9,,,Active,,,http://www.redfin.com/NY/Flushing/35-62-76th-St-11372/home/170214237,REBNY,UCOM1365285,N,Y,40.7494545,-73.8901964
MLS Listing,,Condo/Co-op,Unit at 245 E 25th St,New York,NY,10010,745000,1,1,Middle East Side,,,,10,,,Active,,,http://www.redfin.com/NY/New-York/245-E-25th-St-10010/home/45338803,REBNY,CORE2863789,N,Y,40.7395312,-73.980372
MLS Listing,,Condo/Co-op,Unit at 132 Prospect Pl,Brooklyn,NY,11217,725000,2,1,Prospect Heights,,,,11,,,Active,,,http://www.redfin.com/NY/Brooklyn/132-Prospect-Pl-11217/home/170195289,REBNY,UCOM1864095,N,Y,40.6783683,-73.9728075
MLS Listing,,Condo/Co-op,372 Dekalb Ave Unit 2R,Brooklyn,NY,11205,715000,1,1,Clinton Mews,832,,1930,11,859,,Active,,,http://www.redfin.com/NY/Brooklyn/372-Dekalb-Ave-11205/unit-2R/home/40666711,MLSLI,3188608,N,Y,40.6898733,-73.962846
MLS Listing,,Condo/Co-op,Unit at 79 -10 34th Ave,Queens,NY,11372,749000,2,2,Jackson Heights,,,,11,,,Active,,,http://www.redfin.com/NY/Jackson-Heights/79-10-34th-Ave-11372/home/170193275,REBNY,QRES1863956,N,Y,40.7530713,-73.8871598
MLS Listing,,Condo/Co-op,39-16 Prince St Unit 7F,Flushing,NY,11354,738000,1,1,One Fulton Square,543,,2012,14,1359,526,Active,,,http://www.redfin.com/NY/Flushing/39-16-Prince-St-11354/unit-7F/home/92323797,MLSLI,3188192,N,Y,40.7590973,-73.832247
MLS Listing,,Condo/Co-op,Unit at 516 W 47th St,New York,NY,10036,740000,1,1,Middle West Side,,,,18,,,Active,,,http://www.redfin.com/NY/New-York/516-W-47th-St-10036/home/45137315,REBNY,UCOM1790512,N,Y,40.7628785,-73.9940134
MLS Listing,,Condo/Co-op,Unit at 411 E 57th St,New York,NY,10022,700000,1,1,Middle East Side,,,,18,,,Active,,,http://www.redfin.com/NY/New-York/411-E-57th-St-10022/home/170164309,REBNY,CORC5954812,N,Y,40.758033,-73.9624118
MLS Listing,,Condo/Co-op,Unit at 112 W 72nd St,New York,NY,10023,749000,1,1,Upper West Side,,,,18,,,Active,,,http://www.redfin.com/NY/New-York/112-W-72nd-St-10023/home/45269733,REBNY,DEGI4052877,N,Y,40.7773257,-73.9793528
MLS Listing,,Condo/Co-op,Unit at 604 Riverside Dr,New York,NY,10031,749000,2,2,Hamilton Heights,,,,18,,,Active,,,http://www.redfin.com/NY/New-York/604-Riverside-Dr-10031/home/45165090,REBNY,CORC5950041,N,Y,40.8225938,-73.9555908
MLS Listing,,Condo/Co-op,Unit at 246 Spring St,New York,NY,10013,750000,0,1,Soho,,,,21,,,Active,,,http://www.redfin.com/NY/New-York/246-Spring-St-10013/home/45331690,REBNY,BHSR19995299,N,Y,40.7253082,-74.005407
MLS Listing,,Condo/Co-op,84-32 Grand Ave Unit 4B,Elmhurst,NY,11373,729000,2,2,Grandview Condo,927,,2006,24,786,340,Active,,,http://www.redfin.com/NY/Flushing/84-32-Grand-Ave-11373/unit-4B/home/21692890,MLSLI,3187172,N,Y,40.7341169,-73.8827593
MLS Listing,,Single Family Residential,24 Chart Loop,Staten Island,NY,10309,724999,2,3,Charleston,2365,1860,2007,25,307,375,Active,,,http://www.redfin.com/NY/Staten-Island/24-Chart-Loop-10309/home/56114714,SIBORMLS,1134400,N,Y,40.528398,-74.23978
MLS Listing,,Condo/Co-op,4455 Douglas Ave Unit 7F,Bronx,NY,10471,750000,2,2.5,Bronx,1682,,1967,26,446,954,Active,,,http://www.redfin.com/NY/The-Bronx/4455-Douglas-Ave-10471/unit-7F/home/44600238,HGMLS,5127734,N,Y,40.888523,-73.917565
MLS Listing,,Condo/Co-op,Unit at 20 W 72nd St,New York,NY,10023,749000,1,1,Upper West Side,,,,28,,,Active,,,http://www.redfin.com/NY/New-York/20-W-72nd-St-10023/home/108530965,REBNY,UCOM1517669,N,Y,40.7765087,-73.9775392
MLS Listing,,Condo/Co-op,Unit at 23 -15 44th Dr,Queens,NY,11101,741720,0,1,Queens ( Other),,,,29,,,Active,,,http://www.redfin.com/NY/Long-Island-City/23-19-44th-Dr-11101/home/170107325,REBNY,MOSP1862829,N,Y,40.747748,-73.9441779
MLS Listing,,Condo/Co-op,Unit at 2519 35th St,Queens,NY,11103,725000,1,1.5,Astoria,,,,30,,,Active,,,http://www.redfin.com/NY/Long-Island-City/25-19-35th-St-11103/home/45109536,REBNY,DEGI4046698,N,Y,40.768841,-73.915027
MLS Listing,,Condo/Co-op,1251 E 19 St Unit 1B,Brooklyn,NY,11230,735000,2,1.75,Brooklyn,1110,,2019,30,662,,Active,,,http://www.redfin.com/NY/Brooklyn/1251-E-19th-St-11230/unit-1B/home/143796038,BNYMLS,435361,N,Y,40.6200679,-73.9562703
MLS Listing,,Condo/Co-op,65-38 Austin St Unit 6C,Rego Park,NY,11374,725000,2,2,Austin Tower,980,,2018,32,740,337,Active,,,http://www.redfin.com/NY/Rego-Park/65-38-Austin-St-11374/unit-6C/home/146241774,MLSLI,3186007,N,Y,40.7256645,-73.8595984
MLS Listing,,Condo/Co-op,Unit at 9 Barrow St,New York,NY,10014,700000,0,1,Greenwich Village,,,,32,,,Active,,,http://www.redfin.com/NY/New-York/9-Barrow-St-10014/home/63689971,REBNY,UCOM902621,N,Y,40.7326193,-74.0022396
MLS Listing,,Condo/Co-op,Unit at 77 Clarkson Ave,Brooklyn,NY,11226,713000,2,1,Brooklyn,,,,32,,,Active,,,http://www.redfin.com/NY/Brooklyn/77-Clarkson-Ave-11226/home/170068086,REBNY,RENY106669,N,Y,40.655254,-73.95723
