SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 41 Perry St,New York,NY,10014,599999,1,1,West Village,,,,213,,,Active,,,http://www.redfin.com/NY/New-York/41-Perry-St-10014/home/45166982,REBNY,REDC19685443,N,Y,40.735806,-74.0028374
MLS Listing,,Condo/Co-op,Unit at 794 St Johns Pl,Brooklyn,NY,11216,599000,1,1,Crown Heights,,,,1,,,Active,,,http://www.redfin.com/NY/Brooklyn/794-St-Johns-Pl-11216/home/40670508,REBNY,CORC5942312,N,Y,40.671487,-73.951925
MLS Listing,,Condo/Co-op,Unit at 163 Ocean Ave,Brooklyn,NY,11225,595000,1,1,Brooklyn,,,,4,,,Active,,,http://www.redfin.com/NY/Brooklyn/163-Ocean-Ave-11225/home/59292550,REBNY,UCOM1865248,N,Y,40.6587437,-73.962158
MLS Listing,,Condo/Co-op,Unit at 301 E 22nd St,New York,NY,10010,585000,1,1,Gramercy Park,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/301-E-22nd-St-10010/home/45148521,REBNY,CTRE2866744,N,Y,40.7372683,-73.9809854
MLS Listing,,Condo/Co-op,Unit at 301 E 78th St,New York,NY,10075,577000,1,1,Upper East Side,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/301-E-78th-St-10075/home/147405817,REBNY,SEEK1865089,N,Y,40.7725754,-73.9552149
MLS Listing,,Condo/Co-op,Unit at 319 E 50th St,New York,NY,10022,599000,1,1,Middle East Side,,,,5,,,Active,,,http://www.redfin.com/NY/New-York/319-E-50th-St-10022/home/115226723,REBNY,TMRP1599674,N,Y,40.7547111,-73.9675438
MLS Listing,,Condo/Co-op,Unit at 24 -39 38th St,Queens,NY,11103,575000,1,1,Astoria,,,,5,,,Active,,,http://www.redfin.com/NY/Long-Island-City/24-56-38th-St-11103/home/170230781,REBNY,CORC5960785,N,Y,40.7682962,-73.9127791
MLS Listing,,Condo/Co-op,Unit at 7 E 35th St,New York,NY,10016,569000,1,2,Middle East Side,,,,6,,,Active,,,http://www.redfin.com/NY/New-York/7-E-35th-St-10016/home/45174601,REBNY,HALS20007716,N,Y,40.7489977,-73.9832361
MLS Listing,,Condo/Co-op,2126-2142 Gerritsen Ave #302,Brooklyn,NY,11229,552000,1,2,Brooklyn,920,,2018,6,600,,Active,January-18-2020 01:00 PM,January-18-2020 03:00 PM,http://www.redfin.com/NY/Brooklyn/2126-Gerritsen-Ave-11229/unit-302/home/170226467,BNYMLS,435775,N,Y,40.602666,-73.936339
MLS Listing,,Condo/Co-op,Unit at 442 Pulaski St,Brooklyn,NY,11221,575000,1,1,Bedford Stuyvesant,,,,6,,,Active,,,http://www.redfin.com/NY/Brooklyn/442-Pulaski-St-11221/home/170225492,REBNY,DEGI4067496,N,Y,40.6940339,-73.9332551
MLS Listing,,Condo/Co-op,Unit at 442 Pulaski St,Brooklyn,NY,11221,575000,1,1,Bedford Stuyvesant,,,,6,,,Active,,,http://www.redfin.com/NY/Brooklyn/442-Pulaski-St-11221/home/170225491,REBNY,DEGI4067503,N,Y,40.6940339,-73.9332551
MLS Listing,,Condo/Co-op,Unit at 230 E 15th St,New York,NY,10003,595000,1,1,Gramercy Park,,,,7,,,Active,,,http://www.redfin.com/NY/New-York/230-E-15th-St-10003/home/105884066,REBNY,CORC5957545,N,Y,40.7332359,-73.9854248
MLS Listing,,Condo/Co-op,Unit at 3520 Leverich St,Queens,NY,11372,585000,1,1,Jackson Heights,,,,7,,,Active,,,http://www.redfin.com/NY/Jackson-Heights/35-20-Leverich-St-11372/home/170219871,REBNY,BOND1613015,N,Y,40.7500272,-73.8956895
