SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),101-11 44th Ave,Corona,NY,11368,969000,6,3,Corona,,1904,1920,1,,,Active,,,http://www.redfin.com/NY/Flushing/101-11-44th-Ave-11368/home/20927011,MLSLI,3191426,N,Y,40.746334,-73.863604
MLS Listing,,Multi-Family (2-4 Unit),137 Main St,Staten Island,NY,10307,999999,6,3,Tottenville,3400,7252,2004,1,294,,Active,,,http://www.redfin.com/NY/Staten-Island/137-Main-St-10307/unit-A/home/56120399,SIBORMLS,1134824,N,Y,40.511653,-74.249054
MLS Listing,,Multi-Family (2-4 Unit),61-18 Parsons Blvd,Flushing,NY,11365,975000,5,2,Flushing,,2517,1925,1,,,Active,,,http://www.redfin.com/NY/Flushing/61-18-Parsons-Blvd-11365/home/20585997,MLSLI,3191411,N,Y,40.7379869,-73.8107239
MLS Listing,,Multi-Family (2-4 Unit),32-47 84th St,Jackson Heights,NY,11370,985000,6,,Jackson Heights,1480,2000,1935,1,666,,Active,,,http://www.redfin.com/NY/Flushing/32-47-84th-St-11370/home/20929384,MLSLI,3191288,N,Y,40.7564909,-73.8833329
MLS Listing,,Multi-Family (2-4 Unit),210-02 93 Ave,Queens Village,NY,11428,989000,6,4,Queens Village,,3600,1940,2,,,Active,January-13-2020 04:00 PM,January-13-2020 05:30 PM,http://www.redfin.com/NY/Jamaica/210-02-93rd-Ave-11428/home/20749783,MLSLI,3191176,N,Y,40.717517,-73.7520909
MLS Listing,,Multi-Family (2-4 Unit),71-24 69th St,Glendale,NY,11385,958000,4,2.5,Glendale,,2758,1925,3,,,Active,,,http://www.redfin.com/NY/Flushing/71-24-69th-St-11385/home/20877862,MLSLI,3191003,N,Y,40.703184,-73.883667
MLS Listing,,Multi-Family (2-4 Unit),188 Beach 91st St,Rockaway Beach,NY,11693,999999,16,9,The Rockaways,2568,5000,1920,3,389,,Active,,,http://www.redfin.com/NY/Far-Rockaway/1-88-Beach-91st-St-11693/home/20673777,MLSLI,3190953,N,Y,40.586471,-73.81417
MLS Listing,,Townhouse,26 Delia Ct,Staten Island,NY,10306,999000,4,4,Tottenville,2400,5328,2001,3,416,,Active,,,http://www.redfin.com/NY/Staten-Island/26-Delia-Ct-10307/home/56074743,SIBORMLS,1134765,N,Y,40.5073926,-74.2402859
MLS Listing,,Multi-Family (2-4 Unit),1499 Saint Johns Pl,Brooklyn,NY,11213,979000,7,2,Brooklyn,,1600,1901,3,,,Active,,,http://www.redfin.com/NY/Brooklyn/1499-St-Johns-Pl-11213/home/40713321,MLSLI,3190793,N,Y,40.6706681,-73.9284733
MLS Listing,,Single Family Residential,158-26 75th Rd,Fresh Meadows,NY,11366,995000,4,2.5,Fresh Meadows,,2500,1930,4,,,Active,,,http://www.redfin.com/NY/Flushing/158-26-75th-Rd-11366/home/20824134,MLSLI,3190648,N,Y,40.72571,-73.809639
MLS Listing,,Multi-Family (2-4 Unit),2948 Throop Ave,Bronx,NY,10469,999999,9,6,Bronx,4444,2652,2005,5,225,,Active,,,http://www.redfin.com/NY/The-Bronx/2948-Throop-Ave-10469/home/44769371,HGMLS,4948702,N,Y,40.8691175,-73.8507312
MLS Listing,,Single Family Residential,330 Giffords Ln,Staten Island,NY,10308,995000,5,3,Great Kills,2584,12500,1935,5,385,,Active,,,http://www.redfin.com/NY/Staten-Island/330-Giffords-Ln-10308/home/56030514,SIBORMLS,1134706,N,Y,40.5595688,-74.1542966
