SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,604 Quincy St #2,Brooklyn,NY,11221,939000,2,1.5,604 Quincy Street,920,1476,1899,84,1021,,Active,,,http://www.redfin.com/NY/Brooklyn/604-Quincy-St-11221/unit-2/home/169511184,MLSLI,3174495,N,Y,40.6884259,-73.9364028
MLS Listing,,Single Family Residential,53 Ridge Ave,Staten Island,NY,10304,929000,3,3,Dongan Hills Colony,1536,4399,1975,1,605,,Active,,,http://www.redfin.com/NY/Staten-Island/53-Ridge-Ave-10304/home/56050921,SIBORMLS,1134827,N,Y,40.6003592,-74.0981414
MLS Listing,,Condo/Co-op,Unit at 231 W 21st St,New York,NY,10011,949000,2,1,Chelsea,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/231-W-21st-St-10011/home/45144572,REBNY,CORC5961192,N,Y,40.7436167,-73.9979002
MLS Listing,,Townhouse,43 Ramblewood Ave,Staten Island,NY,10308,934900,3,3,Great Kills,2691,3800,2019,1,347,,Active,,,http://www.redfin.com/NY/Staten-Island/43-Ramblewood-Ave-10308/home/164421013,SIBORMLS,1134803,N,Y,40.543816,-74.15296
MLS Listing,,Condo/Co-op,Unit at 220 Riverside Blvd,New York,NY,10069,950000,1,1,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/220-Riverside-Blvd-10069/home/45120860,REBNY,DEGI4067879,N,Y,40.7798481,-73.9870662
MLS Listing,,Condo/Co-op,Unit at 30 E 9th St,New York,NY,10003,915000,1,1,Greenwich Village,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/30-E-9th-St-10003/home/170267395,REBNY,CLAS20014897,N,Y,40.7318904,-73.9939611
MLS Listing,,Condo/Co-op,Unit at 40 W 116th St,New York,NY,10026,950000,2,2,West Harlem,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/40-W-116th-St-10026/home/45226875,REBNY,UCOM613465,N,Y,40.8010319,-73.9483377
MLS Listing,,Condo/Co-op,Unit at 16 E 98th St,New York,NY,10029,949000,2,1.5,Upper East Side,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/16-E-98th-St-10029/home/59312581,REBNY,DEGI4070723,N,Y,40.7886472,-73.9538459
MLS Listing,,Single Family Residential,728 151 Pl,Whitestone,NY,11357,929000,3,1.5,Whitestone,,2945,1940,5,,,Active,,,http://www.redfin.com/NY/Flushing/7-28-151st-Pl-11357/home/20868458,MLSLI,3190420,N,Y,40.794268,-73.811941
MLS Listing,,Multi-Family (2-4 Unit),339 Quincy Ave,Bronx,NY,10465,949000,3,2.5,Bronx,3100,2500,1955,5,306,,Active,,,http://www.redfin.com/NY/The-Bronx/339-Quincy-Ave-10465/home/44750430,HGMLS,6002606,N,Y,40.8189439,-73.8205421
