SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,200 E 7th St,Brooklyn,NY,11218,1599000,3,3,Kensington,,,,1,,,Active,,,http://www.redfin.com/NY/Brooklyn/200-E-7th-St-11218/home/40792980,REBNY,BHSR19997910,N,Y,40.6471012,-73.9736394
MLS Listing,,Single Family Residential,138-34 10th Ave,Malba,NY,11357,1699000,4,3,Malba,2800,7858,1965,1,607,,Active,,,http://www.redfin.com/NY/Flushing/138-34-South-Dr-11357/home/20869542,MLSLI,3191204,N,Y,40.788957,-73.82991
MLS Listing,,Multi-Family (2-4 Unit),1368 Bay Ridge Ave,Brooklyn,NY,11219,1699000,5,3,Brooklyn,2923,4000,1925,3,581,,Active,,,http://www.redfin.com/NY/Brooklyn/1368-Bay-Ridge-Ave-11228/home/40821050,BNYMLS,435839,N,Y,40.622562,-74.0024462
MLS Listing,,Multi-Family (2-4 Unit),3818 31st St,Long Island City,NY,11101,1589000,5,3.5,Long Island City,,2250,1920,3,,,Active,,,http://www.redfin.com/NY/Long-Island-City/38-18-31st-St-11101/home/20958435,MLSLI,3190950,N,Y,40.753483,-73.932702
MLS Listing,,Condo/Co-op,301 E 64th St Unit 15B,New York,NY,10065,1500000,3,2,Upper East Side,,,1963,4,,,Active,,,http://www.redfin.com/NY/New-York/301-E-64th-St-10065/home/63689180,REBNY,DEGI4070021,N,Y,40.7637569,-73.9616521
MLS Listing,,Single Family Residential,707 152nd St,Whitestone,NY,11357,1520000,4,2.5,Whitestone,,44,2004,5,,,Active,,,http://www.redfin.com/NY/Queens/707-152nd-St-11357/home/170233928,MLSLI,3190439,N,Y,40.7926666,-73.8102375
MLS Listing,,Multi-Family (2-4 Unit),48-12 28th Ave,Astoria,NY,11103,1629000,5,3,Astoria,,2000,1950,5,,,Active,,,http://www.redfin.com/NY/Long-Island-City/48-12-28th-Ave-11103/home/20953612,MLSLI,3190406,N,Y,40.7620379,-73.907021
MLS Listing,,Condo/Co-op,325 Riverside Dr #42,New York,NY,10025,1750000,3,2,Upper West Side,,,1920,5,,,Active,,,http://www.redfin.com/NY/New-York/325-Riverside-Dr-10025/home/45164406,REBNY,CORC5957402,N,Y,40.8013016,-73.9705478
MLS Listing,,Condo/Co-op,575 Fourth Ave Unit 6D,Brooklyn,NY,11215,1695000,3,2.5,Park Slope,1440,,,6,1177,,Active,,,http://www.redfin.com/NY/Brooklyn/575-4th-Ave-11215/home/170227121,REBNY,DEGI3779006,N,Y,40.6655513,-73.9922171
MLS Listing,,Condo/Co-op,116 E 68th St Unit 5B,New York,NY,10065,1675000,3,3,Upper East Side,,,1931,6,,,Active,,,http://www.redfin.com/NY/New-York/116-E-68th-St-10065/home/170225099,REBNY,STRI1864653,N,Y,40.7680663,-73.9649423
