SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,91 E 208 St Unit 5g,Bronx,NY,10467,149000,1,1,Bronx,737,,1926,9,,,Active,,,http://www.redfin.com/NY/The-Bronx/91-E-208th-St-10467/unit-5G/home/44765349,HGMLS,5130174,N,Y,40.8788175,-73.8814623
MLS Listing,,Condo/Co-op,365 Bronx River Rd Unit 6C,Yonkers,NY,10704,85000,0,1,Yonkers,550,,1967,9,155,,Active,,,http://www.redfin.com/NY/Yonkers/365-Bronx-River-Rd-10704/unit-6C/home/21826191,HGMLS,5130157,N,Y,40.9125072,-73.8523857
MLS Listing,,Condo/Co-op,20 Secor Unit 4N,Yonkers,NY,10704,140000,1,1,Yonkers,750,,1960,10,187,,Active,,,http://www.redfin.com/NY/Yonkers/20-Secor-Pl-10704/unit-4-N/home/103507746,HGMLS,5129993,N,Y,40.9127983,-73.8557218
MLS Listing,,Condo/Co-op,6485 Broadway Ave Unit 7b,Bronx,NY,10471,85000,0,1,Bronx,550,,1938,11,155,,Active,,,http://www.redfin.com/NY/The-Bronx/6485-Broadway-10471/unit-7b/home/170173986,HGMLS,5129778,N,Y,40.9053593,-73.896659
MLS Listing,,Condo/Co-op,3279 Hull Ave #15,Bronx,NY,10467,160000,2,1,Bronx,875,,1924,12,183,,Active,,,http://www.redfin.com/NY/The-Bronx/3279-Hull-Ave-10467/unit-15/home/44807206,HGMLS,5129534,N,Y,40.8763215,-73.8749929
MLS Listing,,Condo/Co-op,2270 Plumb 1 St Unit 3B,Brooklyn,NY,11229,169500,2,1,Brooklyn,900,,,12,188,,Active,,,http://www.redfin.com/NY/Brooklyn/2270-Plumb-1st-St-11229/unit-3B/home/170167844,BNYMLS,435540,N,Y,40.5979678,-73.9327784
MLS Listing,,Condo/Co-op,29 Abeel St Unit 4E,Yonkers,NY,10705,167500,2,1,Yonkers,1000,,1956,13,168,,Active,,,http://www.redfin.com/NY/Yonkers/29-Abeel-St-10705/unit-4E/home/170163956,HGMLS,5129286,N,Y,40.915001,-73.903412
MLS Listing,,Condo/Co-op,Unit at 3000 Valentine Ave,Bronx,NY,10458,127800,1,1,Bedford Park,608,,,13,210,,Active,,,http://www.redfin.com/NY/Bronx/3000-Valentine-Ave-10458/home/146524803,REBNY,CITI5948787,N,Y,40.8724137,-73.8852231
MLS Listing,,Condo/Co-op,89-00 170th St Unit 8G,Jamaica,NY,11432,169000,1,1,Avalon Terrace,830,,1965,13,204,847,Active,,,http://www.redfin.com/NY/Jamaica/89-00-170th-St-11432/unit-8G/home/39947073,MLSLI,3187618,N,Y,40.7092156,-73.7912209
MLS Listing,,Condo/Co-op,108-39 Seaview Ave Unit 32A,Brooklyn,NY,11236,154900,1,1,Brooklyn,153,,1988,14,1012,,Active,,,http://www.redfin.com/NY/Brooklyn/10839-Seaview-Ave-11236/unit-32A/home/40894932,BNYMLS,435508,N,Y,40.639982,-73.881744
MLS Listing,,Condo/Co-op,61B Edgewater Park Unit -,Bronx,NY,10465,80000,2,1,Bronx,700,,1925,15,114,,Active,,,http://www.redfin.com/NY/The-Bronx/61-Edgewater-Park-10465/unit-61E/home/44601590,HGMLS,5128622,N,Y,40.821824,-73.811171
MLS Listing,,Condo/Co-op,3121 Middletown Rd Unit 3G,Bronx,NY,10461,159000,1,1,Bronx,800,,1963,19,199,,Active,January-11-2020 01:00 PM,January-11-2020 02:00 PM,http://www.redfin.com/NY/The-Bronx/3121-Middletown-Rd-10461/unit-3G/home/170149168,HGMLS,5128062,N,Y,40.8455961,-73.8264218
MLS Listing,,Condo/Co-op,1898 Longfellow Ave Unit E2,Bronx,NY,10460,110000,1,1,Bronx,700,4556,1914,20,157,,Active,,,http://www.redfin.com/NY/The-Bronx/1898-Longfellow-Ave-10460/unit-E2/home/170136931,HGMLS,5128017,N,Y,40.8387931,-73.8821973
MLS Listing,,Condo/Co-op,3176 Decatur Ave Unit 1A,Bronx,NY,10467,155000,1,1,Bronx,675,,1960,21,230,,Active,,,http://www.redfin.com/NY/The-Bronx/3176-Decatur-Ave-10467/unit-1A/home/44765899,HGMLS,5127739,N,Y,40.8731518,-73.875766
MLS Listing,,Condo/Co-op,1011 Nameoke St Unit 4F,Far Rockaway,NY,11691,154900,2,1,Nameoke Court Condominiu,1015,,1961,22,,585,Active,,,http://www.redfin.com/NY/Far-Rockaway/10-11-Nameoke-St-11691/unit-4F/home/20678564,MLSLI,3186762,N,Y,40.6030873,-73.7490197
