SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 606 W 113th St,New York,NY,10025,529000,1,1,Morningside Heights,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/606-W-113th-St-10025/home/45164557,REBNY,CORC5952586,N,Y,40.8062434,-73.9659464
MLS Listing,,Condo/Co-op,70-61 Park Dr,Flushing,NY,11367,544000,2,1,Regent,850,,1960,2,640,,Active,,,http://www.redfin.com/NY/Flushing/7061-Park-Dr-E-11367/home/170270413,MLSLI,3191137,N,Y,40.72601,-73.8295693
MLS Listing,,Condo/Co-op,Unit at 448 Neptune Ave,Brooklyn,NY,11224,535000,2,2,Brighton Beach,,,,2,,,Active,,,http://www.redfin.com/NY/Brooklyn/448-Neptune-Ave-11224/home/170270305,REBNY,DEGI4076220,N,Y,40.5788982,-73.9700091
MLS Listing,,Condo/Co-op,Unit at 435 E 77th St,New York,NY,10075,525000,1,1,Upper East Side,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/435-E-77th-St-10075/home/170269339,REBNY,UCOM40209,N,Y,40.7706042,-73.9522846
MLS Listing,,Multi-Family (2-4 Unit),85-08 95th Ave,Ozone Park,NY,11416,550000,2,2,Ozone Park,,2000,1922,3,,,Active,January-15-2020 01:00 PM,January-15-2020 03:00 PM,http://www.redfin.com/NY/Jamaica/85-08-95th-Ave-11416/home/20784148,MLSLI,3191041,N,Y,40.684568,-73.855485
MLS Listing,,Condo/Co-op,63-60 102nd St Unit A2,Rego Park,NY,11374,549000,2,1,New Hampshire House,1106,36800,1949,3,496,579,Active,,,http://www.redfin.com/NY/Flushing/6360-102nd-St-11374/unit-A2/home/20915367,MLSLI,3191000,N,Y,40.7319691,-73.8541569
MLS Listing,,Condo/Co-op,18 Landing Way #46,Bronx,NY,10464,525000,2,2.5,Bronx,1571,230876,1981,3,334,850,Active,,,http://www.redfin.com/NY/The-Bronx/18-Landing-Way-10464/unit-46/home/44803422,HGMLS,6003396,N,Y,40.8466261,-73.7834167
MLS Listing,,Condo/Co-op,70-25 Yellowstone Blvd Unit 20D,Forest Hills,NY,11375,549000,2,1,Gerard Towers,,,1964,3,,,Active,,,http://www.redfin.com/NY/Forest-Hills/7025-Yellowstone-Blvd-11375/unit-20D/home/169051194,MLSLI,3190955,N,Y,40.7226213,-73.8493251
MLS Listing,,Condo/Co-op,Unit at 357 E 57th St,New York,NY,10022,530000,1,1,Middle East Side,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/357-E-57th-St-10022/home/170247041,REBNY,UCOM1865252,N,Y,40.758601,-73.9630663
MLS Listing,,Condo/Co-op,Unit at 14 -23 31st Ave,Queens,NY,11106,549000,1,1,Astoria,,,,4,,,Active,,,http://www.redfin.com/NY/Queens/14-11-31st-Ave-11106/home/170247037,REBNY,MOSP1865210,N,Y,40.768308,-73.9313279
