SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 3311 Giles Pl,Bronx,NY,10463,325000,2,2,Kingsbridge,,,,1,,,Active,,,http://www.redfin.com/NY/The-Bronx/3311-Giles-Pl-10463/home/44767392,REBNY,TRIP1858705,N,Y,40.878981,-73.898816
MLS Listing,,Condo/Co-op,236 Edgewater Park Unit B,Bronx,NY,10465,309000,2,1.5,Bronx,978,,,3,316,,Active,,,http://www.redfin.com/NY/The-Bronx/236-Edgewater-Park-10465/unit-B/home/170265905,HGMLS,5129472,N,Y,40.8224004,-73.8110396
MLS Listing,,Condo/Co-op,105-25 67th Rd Unit 2H,Forest Hills,NY,11375,310000,1,1,Quality & Ruskin,,,1955,3,,,Active,,,http://www.redfin.com/NY/Forest-Hills/105-25-67th-Rd-11375/unit-2H/home/103641043,MLSLI,3190804,N,Y,40.7282056,-73.848119
MLS Listing,,Multi-Family (2-4 Unit),518 Mclean Ave,Yonkers,NY,10705,300000,4,2.5,Yonkers,1440,2909,1964,4,208,,Active,,,http://www.redfin.com/NY/Yonkers/518-McLean-Ave-10705/home/20181338,HGMLS,6003012,N,Y,40.912027,-73.881245
MLS Listing,,Condo/Co-op,800 Grand Concourse Unit LAN,Bronx,NY,10451,325000,1,1,Bronx,625,,1954,4,520,,Active,,,http://www.redfin.com/NY/Bronx/800-Grand-Concourse-10451/unit-La-N/home/145122884,HGMLS,6002520,N,Y,40.8251597,-73.9233277
MLS Listing,,Single Family Residential,2 Elmwood Park Dr #203,Staten Island,NY,10314,310000,1,1,New Springville,792,792,1983,4,391,382,Active,,,http://www.redfin.com/NY/Staten-Island/2-Elmwood-Park-Dr-10314/unit-203/home/56040013,SIBORMLS,1134732,N,Y,40.5817146,-74.1617891
MLS Listing,,Condo/Co-op,19-07 166 St Unit 3-4,Whitestone,NY,11357,319000,2,1,Whitestone,800,,1950,4,399,,Active,,,http://www.redfin.com/NY/Whitestone/19-7-166th-St-11357/unit-3-4/home/170236512,MLSLI,3190493,N,Y,40.780585,-73.7971968
MLS Listing,,Condo/Co-op,102-30 66 Rd Unit 25E,Forest Hills,NY,11375,325000,1,1,Toledo,,,1965,4,,,Active,,,http://www.redfin.com/NY/Forest-Hills/102-30-66th-Rd-11375/unit-25E/home/167427772,MLSLI,3190479,N,Y,40.7284716,-73.8505211
MLS Listing,,Condo/Co-op,Unit at 344 E 58th St,New York,NY,10022,320000,1,1,Middle East Side,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/344-E-58th-St-10022/home/45155437,REBNY,ARVI88220,N,Y,40.7591331,-73.9630665
MLS Listing,,Multi-Family (2-4 Unit),520 Mclean Ave,Yonkers,NY,10705,300000,4,2.5,Yonkers,1440,,1964,5,208,,Active,,,http://www.redfin.com/NY/Yonkers/520-McLean-Ave-10705/home/20181637,HGMLS,6002688,N,Y,40.912095,-73.88118
