SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18 Raymond Pl,Staten  Island,NY,10310,424999,2,2,Staten  Island,1368,2325,1940,1,311,,Active,,,http://www.redfin.com/NY/Staten-Island/18-Raymond-Pl-10310/home/56125742,BNYMLS,435856,N,Y,40.6300987,-74.1259802
MLS Listing,,Single Family Residential,62 Aspen Knoll Way,Staten Island,NY,10312,419000,4,3,Arden Heights,1354,568,1996,3,309,,Active,,,http://www.redfin.com/NY/Staten-Island/62-Aspen-Knolls-Way-10312/home/56128349,SIBORMLS,1134789,N,Y,40.5634483,-74.1845107
MLS Listing,,Condo/Co-op,21-55 34th Ave Unit 8A,Long Island City,NY,11106,408000,1,1,Queensview,,,1958,3,,,Active,,,http://www.redfin.com/NY/Astoria/21-55-34th-Ave-11106/unit-8A/home/20647210,MLSLI,3190822,N,Y,40.762083,-73.931906
MLS Listing,,Condo/Co-op,Unit at 229 E 28th St,New York,NY,10016,425000,0,1,Middle East Side,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/229-E-28th-St-10016/home/170247040,REBNY,UCOM1865250,N,Y,40.7415334,-73.9794487
MLS Listing,,Condo/Co-op,Unit at 21 -55 34th Ave,Queens,NY,11106,408000,1,1,Long Island City,,,,4,,,Active,,,http://www.redfin.com/NY/Queens/21-15-34th-Ave-11106/home/168913962,REBNY,UCOM1865190,N,Y,40.7632487,-73.9329541
MLS Listing,,Condo/Co-op,3901 Independence Ave Unit 3N,Bronx,NY,10463,415000,2,2,Riverdale,1350,,1950,5,307,,Active,,,http://www.redfin.com/NY/The-Bronx/3901-Independence-Ave-10463/unit-3N/home/44602387,HGMLS,6000210,N,Y,40.8901468,-73.9133401
MLS Listing,,Single Family Residential,245 Hampton Grn,Staten Island,NY,10312,425000,2,1,Arden Heights,1088,1360,1980,5,391,,Active,,,http://www.redfin.com/NY/Staten-Island/245-Hampton-Grn-10312/home/56034471,SIBORMLS,1134710,N,Y,40.5540321,-74.1961841
MLS Listing,,Single Family Residential,114-25 210th St,Cambria Heights,NY,11411,425000,4,2,Cambria Heights,,3000,1920,5,,,Active,,,http://www.redfin.com/NY/Jamaica/114-25-210th-St-11411/home/20740360,MLSLI,3190261,N,Y,40.701797,-73.744401
MLS Listing,,Townhouse,2560 Stedman Pl,Bronx,NY,10469,425000,3,1.5,Bronx,1584,4125,1960,5,268,,Active,,,http://www.redfin.com/NY/The-Bronx/2560-Stedman-Pl-10469/home/44734257,HGMLS,6001558,N,Y,40.864229,-73.8514285
MLS Listing,,Condo/Co-op,44-59 Kissena Blvd Unit 2H,Flushing,NY,11355,409000,3,2,Franconia Village Coop,1300,,1954,5,315,,Active,,,http://www.redfin.com/NY/Flushing/44-59-Kissena-Blvd-11355/unit-2H/home/170230694,MLSLI,3190230,N,Y,40.752739,-73.821142
MLS Listing,,Condo/Co-op,252-81 63 Ave,Little Neck,NY,11362,408000,3,1,Deepdale Gardens,1082,,1955,5,377,,Active,,,http://www.redfin.com/NY/Little-Neck/25281-63rd-Ave-11362/Lowr/home/160608712,MLSLI,3190228,N,Y,40.7568592,-73.7240291
MLS Listing,,Condo/Co-op,2126-2142 Gerritsen Ave #304,Brooklyn,NY,11229,417000,1,1,Brooklyn,695,,2018,6,600,,Active,January-18-2020 01:00 PM,January-18-2020 03:00 PM,http://www.redfin.com/NY/Brooklyn/2126-Gerritsen-Ave-11229/unit-304/home/170226537,BNYMLS,435777,N,Y,40.602666,-73.936339
MLS Listing,,Condo/Co-op,5614 Netherland Ave Unit 1CD,Bronx,NY,10471,410000,2,2,Riverdale,1400,,1949,6,293,,Active,,,http://www.redfin.com/NY/The-Bronx/5614-Netherland-Ave-10471/unit-1CD/home/170225711,HGMLS,6002221,N,Y,40.9050945,-73.906337
MLS Listing,,Single Family Residential,84 Everton Ave,Staten Island,NY,10312,425000,,,Rossville,,,,7,,,Active,,,http://www.redfin.com/NY/Staten-Island/84-Everton-Ave-10312/home/56101437,REBNY,KWNY239214,N,Y,40.547734,-74.194718
MLS Listing,,Multi-Family (2-4 Unit),3903 Ely Ave,Bronx,NY,10466,420000,0,,Bronx,1900,1825,1964,9,221,,Active,,,http://www.redfin.com/NY/The-Bronx/3903-Ely-Ave-10466/home/44740044,HGMLS,6001033,N,Y,40.8882096,-73.8449951
MLS Listing,,Condo/Co-op,Unit at 445 W 240th St,Bronx,NY,10463,415000,2,1,Riverdale,,,,9,,,Active,,,http://www.redfin.com/NY/The-Bronx/445-W-240th-St-10463/home/44800260,REBNY,BACH20006844,N,Y,40.8885956,-73.904483
MLS Listing,,Single Family Residential,14 Stanwich St,Staten Island,NY,10304,425000,3,2,Grasmere,1560,1960,1988,9,272,,Active,,,http://www.redfin.com/NY/Staten-Island/14-Stanwich-St-10304/home/56082028,SIBORMLS,1134595,N,Y,40.601329,-74.089658
MLS Listing,,Condo/Co-op,405 E 82 St Unit 2B,New York,NY,10028,419900,1,1,405 E 82 St #2B,,,1910,10,,,Active,,,http://www.redfin.com/NY/New-York/405-E-82nd-St-10028/unit-2B/home/170208808,MLSLI,3189153,N,Y,40.7742268,-73.9506314
