SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,70-61 Park Dr,Flushing,NY,11367,544000,2,1,Regent,850,,1960,2,640,,Active,,,http://www.redfin.com/NY/Flushing/7061-Park-Dr-E-11367/home/170270413,MLSLI,3191137,N,Y,40.72601,-73.8295693
MLS Listing,,Condo/Co-op,Unit at 448 Neptune Ave,Brooklyn,NY,11224,535000,2,2,Brighton Beach,,,,2,,,Active,,,http://www.redfin.com/NY/Brooklyn/448-Neptune-Ave-11224/home/170270305,REBNY,DEGI4076220,N,Y,40.5788982,-73.9700091
MLS Listing,,Multi-Family (2-4 Unit),85-08 95th Ave,Ozone Park,NY,11416,550000,2,2,Ozone Park,,2000,1922,3,,,Active,January-15-2020 01:00 PM,January-15-2020 03:00 PM,http://www.redfin.com/NY/Jamaica/85-08-95th-Ave-11416/home/20784148,MLSLI,3191041,N,Y,40.684568,-73.855485
MLS Listing,,Condo/Co-op,63-60 102nd St Unit A2,Rego Park,NY,11374,549000,2,1,New Hampshire House,1106,36800,1949,3,496,579,Active,,,http://www.redfin.com/NY/Flushing/6360-102nd-St-11374/unit-A2/home/20915367,MLSLI,3191000,N,Y,40.7319691,-73.8541569
MLS Listing,,Condo/Co-op,18 Landing Way #46,Bronx,NY,10464,525000,2,2.5,Bronx,1571,230876,1981,3,334,850,Active,,,http://www.redfin.com/NY/The-Bronx/18-Landing-Way-10464/unit-46/home/44803422,HGMLS,6003396,N,Y,40.8466261,-73.7834167
MLS Listing,,Condo/Co-op,70-25 Yellowstone Blvd Unit 20D,Forest Hills,NY,11375,549000,2,1,Gerard Towers,,,1964,3,,,Active,,,http://www.redfin.com/NY/Forest-Hills/7025-Yellowstone-Blvd-11375/unit-20D/home/169051194,MLSLI,3190955,N,Y,40.7226213,-73.8493251
MLS Listing,,Single Family Residential,135-07 Foch Blvd,S. Ozone Park,NY,11420,529999,2,2.5,S. Ozone Park,,2075,1945,4,,,Active,,,http://www.redfin.com/NY/Jamaica/135-07-Foch-Blvd-11420/home/20720848,MLSLI,3190511,N,Y,40.67762,-73.804298
MLS Listing,,Condo/Co-op,38-11 108th St Unit 2D,Corona,NY,11368,538000,2,2,Corona Tower Condo,880,,2006,4,611,521,Active,,,http://www.redfin.com/NY/Flushing/38-11-108th-St-11368/unit-2D/home/20664094,MLSLI,3190496,N,Y,40.751989,-73.8591355
MLS Listing,,Single Family Residential,241-02 85th Rd,Bellerose,NY,11426,549000,2,2,Bellerose,600,3610,1920,4,915,,Active,,,http://www.redfin.com/NY/Jamaica/241-02-85th-Rd-11426/home/20588563,MLSLI,3190481,N,Y,40.7324399,-73.72514
MLS Listing,,Single Family Residential,289 Pacific Ave,Staten Island,NY,10312,529999,2,1,Eltingville,912,4000,1950,5,581,,Active,,,http://www.redfin.com/NY/Staten-Island/289-Pacific-Ave-10312/home/56055043,SIBORMLS,1134692,N,Y,40.5424486,-74.1584289
MLS Listing,,Condo/Co-op,13-22 Bell Blvd Unit Duplex,Bayside,NY,11360,519000,2,1,Bay Terrace Garden #1,,,1954,6,,,Active,,,http://www.redfin.com/NY/Bayside/13-22-Bell-Blvd-11360/unit-DUPLEX/home/50268490,MLSLI,3189996,N,Y,40.7881256,-73.781561
MLS Listing,,Condo/Co-op,155 Bay St Unit 5j,Staten Island,NY,10301,550000,2,2,St. George,1248,1248,2005,6,441,818,Active,,,http://www.redfin.com/NY/Staten-Island/155-Bay-St-10301/unit-5J/home/56135514,SIBORMLS,1134676,N,Y,40.638148,-74.0756332
MLS Listing,,Condo/Co-op,87-30 62nd Ave Unit 6C,Rego Park,NY,11374,509000,2,1.5,Austin Towers,858,33649,1989,6,593,536,Active,,,http://www.redfin.com/NY/Rego-Park/87-30-62nd-Ave-11374/unit-6C/home/20899097,MLSLI,3189842,N,Y,40.7284524,-73.8683238
MLS Listing,,Condo/Co-op,85-11 34 Ave Unit 6D,Jackson Heights,NY,11372,535000,2,1,Jackson Heights,850,,1951,7,629,367,Active,,,http://www.redfin.com/NY/Jackson-Heights/85-11-34th-Ave-11372/unit-6D/home/20929146,MLSLI,3189814,N,Y,40.7543537,-73.8818757
MLS Listing,,Condo/Co-op,Unit at 130 Lenox Ave,New York,NY,10026,515000,2,1,West Harlem,,,,7,,,Active,,,http://www.redfin.com/NY/New-York/130-Lenox-Ave-10026/home/170221504,REBNY,UCOM1864564,N,Y,40.8021896,-73.9491979
