SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1535 Independence Ave Unit 1B,Brooklyn,NY,11228,399900,2,1,Brooklyn,800,,,1,500,,Active,,,http://www.redfin.com/NY/Brooklyn/1535-Independence-Ave-11228/unit-1B/home/167106002,BNYMLS,435880,N,Y,40.6037643,-74.0159249
MLS Listing,,Condo/Co-op,Unit at 201 E 28th St,New York,NY,10016,399000,0,1,Middle East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/201-E-28th-St-10016/home/170271237,REBNY,DEGI4068319,N,Y,40.7419383,-73.9803309
MLS Listing,,Condo/Co-op,102-10 66 Rd Unit 14K,Forest Hills,NY,11375,379000,1,1,Birchwood Towers,,,1965,1,,,Active,,,http://www.redfin.com/NY/Flushing/102-10-66th-Rd-11375/unit-14K/home/20644823,MLSLI,3191250,N,Y,40.7282586,-73.8513251
MLS Listing,,Condo/Co-op,1489 E 8 St Unit B4,Brooklyn,NY,11230,392000,1,1,Brooklyn,587,,1926,1,668,,Active,,,http://www.redfin.com/NY/Brooklyn/1489-E-8th-St-11230/unit-B4/home/40837045,BNYMLS,435861,N,Y,40.6124879,-73.9655772
MLS Listing,,Single Family Residential,607 Ilyssa Way,New York,NY,10312,375000,3,2,New York,1524,572,1996,2,246,,Active,,,http://www.redfin.com/NY/Staten-Island/607-Ilyssa-Way-10312/home/56121314,BNYMLS,435873,N,Y,40.5620445,-74.1866333
MLS Listing,,Condo/Co-op,Unit at 200 Cabrini Blvd,New York,NY,10033,378000,0,1,Washington Heights,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/200-Cabrini-Blvd-10033/home/45334701,REBNY,CORC5952902,N,Y,40.853549,-73.9392769
MLS Listing,,Condo/Co-op,Unit at 3692 Broadway,New York,NY,10031,399000,2,1,Hamilton Heights,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/3692-Broadway-10031/home/45171150,REBNY,CORE2867369,N,Y,40.8310472,-73.9465833
MLS Listing,,Condo/Co-op,Unit at 3692 Broadway,New York,NY,10031,399000,1,1,Hamilton Heights,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/3692-Broadway-10031/home/170268620,REBNY,CORE2867447,N,Y,40.8310472,-73.9465833
MLS Listing,,Townhouse,179-65 Selover Rd,Jamaica,NY,11434,389000,3,2.5,Jamaica,1500,2000,1935,3,259,,Active,,,http://www.redfin.com/NY/Jamaica/179-65-Selover-Rd-11434/home/20705348,MLSLI,3191029,N,Y,40.68444,-73.7636
MLS Listing,,Condo/Co-op,Unit at 205 E 77th St,New York,NY,10075,390000,0,1,Upper East Side,,,,3,,,Active,,,http://www.redfin.com/NY/New-York/205-E-77th-St-10075/home/170268274,REBNY,KWNY239272,N,Y,40.7728867,-73.9575288
