PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric,Total_Num_ofComplaints,PCT,Total_crimes,Level_A_SchoolCount,Level_B_SchoolCount,Level_C_SchoolCount,Level_D_SchoolCount,Level_F_SchoolCount,Total_Number_of_Schools,Num_Complaints_schools,Population,People/Sq_Mile,Total_Num_ofHospitals,Total_Num_of_Subways,min_dist_station,Num_of_Retail_stores,min_dist_retail_store,Num_of_Retail_stores_Zipcode
Condo/Co-op,REGO PARK,NY,11374,249999.0,1.0,1.0,Thornton Burns Owners,850.0,1963.0,http://www.redfin.com/NY/Rego-Park/66-01-Burns-St-11374/unit-6M/home/169840607,40.7241051,-73.8581707,58.0,635,12953,112,768,45,37,17,1,1,101,416.0,44189.0,48499.11,21,13,0.3308576274383773,19,0.27650228878236105,3.0
Condo/Co-op,REGO PARK,NY,11374,248000.0,0.0,1.0,65-38 Booth St Owners,650.0,1940.0,http://www.redfin.com/NY/Flushing/65-38-Booth-St-11374/unit-3K/home/20658262,40.726787,-73.858789,81.0,635,14300,112,768,45,37,16,1,1,100,410.0,44189.0,48499.11,21,14,0.25775534528483535,21,0.26778366181259905,3.0
Condo/Co-op,REGO PARK,NY,11374,229000.0,0.0,1.0,Saunders Owners,1352.9759036144576,1952.0,http://www.redfin.com/NY/Flushing/63-89-Saunders-St-11374/unit-3J/home/169468349,40.7291666,-73.8619839,69.0,635,15632,112,768,44,34,13,1,1,93,385.0,44189.0,48499.11,21,17,0.05099841844205799,14,0.10858484209373012,3.0
Condo/Co-op,REGO PARK,NY,11374,235000.0,0.0,1.0,Park City 3&4,500.0,1954.0,http://www.redfin.com/NY/Flushing/9740-62nd-Dr-11374/unit-2A/home/169090802,40.732268499999996,-73.859883,67.0,635,17389,112,768,44,35,15,1,1,96,415.0,44189.0,48499.11,22,16,0.1901515257967254,16,0.10764393026131228,3.0
Condo/Co-op,REGO PARK,NY,11374,258000.0,1.0,1.0,Thornton Burns Owners In,800.0,1963.0,http://www.redfin.com/NY/Rego-Park/66-01-Burns-St-11374/unit-3S/home/108534552,40.7241051,-73.8581707,58.0,635,12953,112,768,45,37,17,1,1,101,416.0,44189.0,48499.11,21,13,0.3308576274383773,19,0.27650228878236105,3.0
Condo/Co-op,REGO PARK,NY,11374,265000.0,0.0,1.0,The Howard Apartments,1352.9759036144576,1952.0,http://www.redfin.com/NY/Rego-Park/9952-66th-Rd-11374/unit-5A/home/144762645,40.727641299999995,-73.85456140000002,69.0,635,14143,112,768,45,35,20,1,1,102,444.0,44189.0,48499.11,20,13,0.12363707186980481,19,0.3692342246174817,3.0
Condo/Co-op,REGO PARK,NY,11374,265000.0,1.0,1.0,Park City Estates,943.4822134387352,1960.0,http://www.redfin.com/NY/Rego-Park/61-45-98th-St-11374/unit-12L/home/20627329,40.733723299999994,-73.85877940000002,61.0,635,17721,112,768,44,32,15,1,1,93,404.0,44189.0,48499.11,22,16,0.3061005031190687,17,0.1051946469651765,3.0
Condo/Co-op,REGO PARK,NY,11374,259000.0,1.0,1.0,Anita Terrace,943.4822134387352,1952.0,http://www.redfin.com/NY/Rego-Park/99-60-63rd-Rd-11374/unit-3O/home/20659467,40.7325144,-73.85463309999999,69.0,635,16407,112,768,45,32,14,1,1,93,404.0,44189.0,48499.11,17,14,0.40903086294026214,16,0.16758282837952013,3.0
Condo/Co-op,REGO PARK,NY,11374,260000.0,0.0,1.0,Rego Park,520.0,1951.0,http://www.redfin.com/NY/Rego-Park/9963-66th-Ave-11374/unit-B10/home/40222262,40.729189899999994,-73.85217,70.0,635,14612,112,768,46,34,17,2,1,100,431.0,44189.0,48499.11,17,13,0.18655218755476854,20,0.2987341946393504,3.0
Condo/Co-op,REGO PARK,NY,11374,290000.0,1.0,1.0,Park City Estates,943.4822134387352,1960.0,http://www.redfin.com/NY/Flushing/61-15-98th-St-11374/unit-15L/home/170214357,40.7346339,-73.86023840000001,61.0,635,18098,112,768,44,30,15,1,1,91,394.0,44189.0,48499.11,21,15,0.33855633277292435,20,0.20021885407776413,3.0
Condo/Co-op,REGO PARK,NY,11374,298000.0,1.0,1.0,The Crestwood,800.0,1959.0,http://www.redfin.com/NY/Unknown/65-65-Wetherole-St-11374/unit-4J/home/145450893,40.7261179,-73.857941,62.0,635,13818,112,768,45,36,16,1,1,99,407.0,44189.0,48499.11,20,13,0.2749458515456755,19,0.32678829619108135,3.0
Condo/Co-op,REGO PARK,NY,11374,279000.0,1.0,1.0,Anita Terrace,943.4822134387352,1960.0,http://www.redfin.com/NY/Rego-Park/99-60-63rd-Rd-11374/unit-5R/home/144211018,40.7325144,-73.85463309999999,61.0,635,16407,112,768,45,32,14,1,1,93,404.0,44189.0,48499.11,17,14,0.40903086294026214,16,0.16758282837952013,3.0
Condo/Co-op,REGO PARK,NY,11374,299900.0,1.0,1.0,Park City Estates,943.4822134387352,1960.0,http://www.redfin.com/NY/Rego-Park/61-55-98th-St-11374/unit-2F/home/169632642,40.7335541,-73.8596902,61.0,635,17777,112,768,44,33,15,1,1,94,409.0,44189.0,48499.11,22,16,0.2751884702873218,18,0.1266327432933728,3.0
Condo/Co-op,REGO PARK,NY,11374,285000.0,1.0,1.0,Park City Estates,943.4822134387352,1960.0,http://www.redfin.com/NY/Rego-Park/61-55-98th-St-11374/unit-7M/home/20633147,40.7335541,-73.8596902,61.0,635,17777,112,768,44,33,15,1,1,94,409.0,44189.0,48499.11,22,16,0.2751884702873218,18,0.1266327432933728,3.0
