PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric,Total_Num_ofComplaints,PCT,Total_crimes,Level_A_SchoolCount,Level_B_SchoolCount,Level_C_SchoolCount,Level_D_SchoolCount,Level_F_SchoolCount,Total_Number_of_Schools,Num_Complaints_schools,Population,People/Sq_Mile,Total_Num_ofHospitals,Total_Num_of_Subways,min_dist_station,Num_of_Retail_stores,min_dist_retail_store,Num_of_Retail_stores_Zipcode
Multi-Family (2-4 Unit),FLUSHING,NY,11367,1800000.0,6.0,5.0,Flushing,2808.375,2019.0,http://www.redfin.com/NY/Flushing/135-19-62nd-Ave-11367/home/20828849,40.7417429,-73.8305342,2.0,608,14691,107,1682,41,37,14,2,0,94,423.0,38216.0,20384.04,9,9,1.190253621042047,4,0.38753986363517245,4.0
Condo/Co-op,FLUSHING,NY,11367,199000.0,1.0,1.0,Kew Gardens Hills,600.0,1945.0,http://www.redfin.com/NY/Flushing/14401-78th-Rd-11367/unit-3C/home/20640265,40.71999,-73.81715,76.0,608,13558,107,1682,37,34,20,4,0,95,391.0,38216.0,20384.04,10,14,0.768430725987145,14,0.16880449986643326,4.0
Condo/Co-op,FLUSHING,NY,11367,205000.0,2.0,1.0,Mainstay 1,1000.0,1955.0,http://www.redfin.com/NY/Flushing/144-55-Melbourne-Ave-11367/unit-6A/home/21691246,40.734848,-73.8232512,66.0,608,12184,107,1682,38,34,17,2,0,91,424.0,38216.0,20384.04,9,7,1.3588603827128003,7,0.5540506109882343,4.0
Single Family Residential,FLUSHING,NY,11367,1100000.0,3.0,3.0,Flushing,1788.9197396963125,1950.0,http://www.redfin.com/NY/Flushing/61-28-136th-St-11367/home/20832012,40.74196660000001,-73.8302133,71.0,608,14663,107,1682,40,37,14,2,0,93,420.0,38216.0,20384.04,9,9,1.1900635843607779,4,0.36517429896045944,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,1100000.0,5.0,4.5,Kew Garden Hills,3689.1538461538457,1945.0,http://www.redfin.com/NY/Flushing/138-38-76th-Ave-11367/home/20826719,40.721795,-73.821546,76.0,1108,12895,107,1682,37,34,20,4,0,95,401.0,38216.0,20384.04,10,13,0.7099423685162969,13,0.3170953305893001,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,1098000.0,4.0,3.0,Kew Garden Hills,2128.0,1940.0,http://www.redfin.com/NY/Flushing/144-16-69th-Rd-11367/home/20826445,40.73070870000001,-73.8230444,81.0,1108,10957,107,1682,39,33,20,2,0,94,427.0,38216.0,20384.04,10,8,1.136348654935278,9,0.3056267427543185,4.0
Multi-Family (2-4 Unit),KEW GARDEN HILLS,NY,11367,1100000.0,4.0,3.0,Kew Garden Hills,2113.741463414634,1940.0,http://www.redfin.com/NY/Flushing/144-44-76th-Ave-11367/home/20823629,40.722936,-73.817988,81.0,1108,12951,107,1682,36,33,18,4,0,91,404.0,38216.0,20384.04,10,13,0.899943014210465,15,0.3107894853233789,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,249000.0,1.0,1.0,Kew Terrace,750.0,1955.0,http://www.redfin.com/NY/Flushing/144-21-79th-Ave-11367/unit-1G/home/21723432,40.71931770000001,-73.816488,66.0,1108,13765,107,1682,37,35,20,4,0,96,394.0,38216.0,20384.04,10,14,0.7327007678473234,14,0.11167640393140421,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,247000.0,1.0,1.0,Flushing,750.0,1955.0,http://www.redfin.com/NY/Flushing/6907-150th-St-11367/unit-321A/home/40029909,40.7317921,-73.8192689,66.0,1108,10828,107,1682,38,35,19,3,0,95,454.0,38216.0,20384.04,9,8,1.3266240628098873,10,0.2602761977376222,4.0
Condo/Co-op,FLUSHING,NY,11367,249000.0,1.0,1.0,Georgetown Mews,750.0,1955.0,http://www.redfin.com/NY/Flushing/6708-152nd-St-11367/unit-266A/home/40550203,40.7336339,-73.8176579,66.0,608,11102,107,1682,37,35,18,3,0,93,433.0,38216.0,20384.04,7,8,1.4763775713847707,8,0.3025206810461524,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,233888.0,1.0,1.0,Kew Terrace,700.0,1955.0,http://www.redfin.com/NY/Flushing/144-17-79th-Ave-11367/unit-3C/home/167227918,40.7189939,-73.8170923,66.0,1108,13825,107,1682,37,35,20,4,0,96,394.0,38216.0,20384.04,10,14,0.7024504035094052,14,0.12627753342402875,4.0
Condo/Co-op,FLUSHING,NY,11367,228000.0,1.0,1.0,Geortown,720.0,1945.0,http://www.redfin.com/NY/Flushing/6930-Kissena-Blvd-11367/unit-2/home/161140059,40.73286470000001,-73.8151204,76.0,608,10486,107,1682,37,35,18,4,0,94,437.0,38216.0,20384.04,8,7,1.5211739509247268,9,0.21921518915140106,4.0
Condo/Co-op,FLUSHING,NY,11367,229000.0,3.0,1.0,Mainstay 1,1200.0,1955.0,http://www.redfin.com/NY/Flushing/144-55-Melbourne-Ave-11367/unit-5G/home/166583038,40.734848,-73.8232512,66.0,608,12184,107,1682,38,34,17,2,0,91,424.0,38216.0,20384.04,9,7,1.3588603827128003,7,0.5540506109882343,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,253000.0,2.0,1.0,Kew Terrace,1955.0,1955.0,http://www.redfin.com/NY/Flushing/78-04-147th-St-11367/unit-1G/home/170218030,40.720421,-73.8164363,66.0,1108,13496,107,1682,37,33,20,4,0,94,380.0,38216.0,20384.04,10,14,0.8066597195671118,14,0.17063431810453977,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,268000.0,1.0,1.0,Brg Management,900.0,1955.0,http://www.redfin.com/NY/Flushing/14905-79th-Ave-11367/unit-717/home/20637948,40.7196899,-73.81430999999998,66.0,1108,13652,107,1682,36,33,21,4,0,94,377.0,38216.0,20384.04,10,13,0.797138311248181,14,0.10430069508506487,4.0
Condo/Co-op,FLUSHING,NY,11367,268000.0,1.0,1.0,Hyde Park Gardens,700.0,1950.0,http://www.redfin.com/NY/Flushing/137-5-Jewel-Ave-11367/unit-A/home/170123875,40.7288711,-73.8282353,71.0,608,11614,107,1682,40,32,19,2,0,93,406.0,38216.0,20384.04,10,11,0.8702410310907746,5,0.37771056957636107,4.0
Condo/Co-op,FLUSHING,NY,11367,270000.0,2.0,1.0,Regency Gardens,900.0,1941.0,http://www.redfin.com/NY/Flushing/78-42-Main-St-11367/unit-3K/home/164671154,40.7188018,-73.81795699999998,80.0,608,13837,107,1682,37,35,20,4,0,96,394.0,38216.0,20384.04,10,14,0.6790632668746426,14,0.16499958272767712,4.0
Condo/Co-op,FLUSHING,NY,11367,269000.0,1.0,1.0,Hyde Park Gardens,700.0,1955.0,http://www.redfin.com/NY/Flushing/6803-136th-St-11367/unit-B/home/20632069,40.7300098,-73.83149770000001,66.0,608,12044,107,1682,44,33,18,2,0,97,424.0,38216.0,20384.04,10,9,0.862944737997178,7,0.5655530968011111,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,259999.0,1.0,1.0,Georgetown Mews,850.0,1950.0,http://www.redfin.com/NY/Unknown/67-19-152nd-St-11367/unit-212A/home/147594267,40.733202,-73.81734329999998,71.0,1108,11122,107,1682,37,36,18,3,0,94,448.0,38216.0,20384.04,8,8,1.4668550709269903,7,0.2685122077318041,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,260000.0,1.0,1.0,Hyde Park Gardens,550.0,1950.0,http://www.redfin.com/NY/Flushing/69-12-138th-St-11367/unit-B/home/113435618,40.7299523,-73.82896059999999,71.0,1108,11656,107,1682,40,33,18,2,0,93,406.0,38216.0,20384.04,10,9,0.9149019576709616,4,0.4481769923859063,4.0
Condo/Co-op,FLUSHING,NY,11367,265000.0,1.0,1.0,Regency Garden,700.0,1941.0,http://www.redfin.com/NY/Flushing/141-15-Union-Tpke-11367/unit-20/home/169587829,40.717729999999996,-73.81924690000002,80.0,608,14021,107,1682,36,36,21,4,0,97,405.0,38216.0,20384.04,10,14,0.5950775572392671,13,0.23072284566656678,4.0
Condo/Co-op,FLUSHING,NY,11367,261000.0,1.0,1.0,Georgetown Mews,735.0,1955.0,http://www.redfin.com/NY/Flushing/70-6-Kissena-Blvd-11367/unit-117A/home/63686812,40.731072,-73.817136,66.0,608,10624,107,1682,37,36,18,4,0,95,452.0,38216.0,20384.04,8,9,1.3598600896783148,11,0.14147179443886565,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,258000.0,1.0,1.0,Hyde Park Gardens,943.4822134387352,1950.0,http://www.redfin.com/NY/Flushing/69-17-136th-St-11367/unit-B/home/168949962,40.7294794,-73.82969229999998,71.0,1108,11618,107,1682,40,33,18,2,0,93,406.0,38216.0,20384.04,10,9,0.8680438562224813,5,0.4647198284766603,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,255000.0,1.0,1.0,Regency Gardens,943.4822134387352,1941.0,http://www.redfin.com/NY/Flushing/141-17-79th-Ave-11367/unit-2P/home/28684271,40.7185385,-73.8191136,80.0,1108,13840,107,1682,36,34,20,4,0,94,388.0,38216.0,20384.04,10,14,0.6513902946530609,13,0.22191566726135345,4.0
Condo/Co-op,FLUSHING,NY,11367,285000.0,1.0,1.0,Flushing,780.0,1951.0,http://www.redfin.com/NY/Flushing/15054-Melbourne-Ave-11367/unit-257A/home/170241372,40.7337,-73.81820090000002,70.0,608,11124,107,1682,38,35,18,3,0,94,436.0,38216.0,20384.04,7,8,1.459996685287713,8,0.31987361589072294,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,298000.0,1.0,1.0,Dara Gardens,780.0,1952.0,http://www.redfin.com/NY/Flushing/150-40-71st-Ave-11367/unit-4L/home/20627673,40.729271600000004,-73.81674170000002,69.0,1108,11792,107,1682,37,34,19,4,0,94,431.0,38216.0,20384.04,9,9,1.2685017986869458,12,0.0886501764346935,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,285000.0,1.0,1.0,Joyce Equities,943.4822134387352,1950.0,http://www.redfin.com/NY/Flushing/138-33-Jewel-Ave-11367/unit-1A/home/39524010,40.7299538,-73.8271311,71.0,1108,11590,107,1682,40,33,18,2,0,93,406.0,38216.0,20384.04,10,10,0.964548689403881,5,0.37203250286293726,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,299000.0,2.0,1.0,Georgetown Mews,950.0,1952.0,http://www.redfin.com/NY/Flushing/152-26-Jewel-Ave-11367/unit-93A/home/169651455,40.731526,-73.816356,69.0,1108,10522,107,1682,37,36,18,4,0,95,452.0,38216.0,20384.04,8,9,1.4083251666272616,11,0.14184673699733594,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,279000.0,1.0,1.0,Hyde Park Garden,943.4822134387352,1950.0,http://www.redfin.com/NY/Flushing/136-25-Jewel-Ave-11367/home/21632298,40.7290951,-73.8292464,71.0,1108,11562,107,1682,40,32,19,2,0,93,406.0,38216.0,20384.04,10,10,0.8558584363803767,8,0.43198616132876505,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,288000.0,2.0,1.0,Kew Terrace,1002.4694280078895,1950.0,http://www.redfin.com/NY/Flushing/144-36-78th-Ave-11367/unit-2D/home/20638731,40.7203402,-73.8168162,71.0,1108,13523,107,1682,37,33,20,4,0,94,380.0,38216.0,20384.04,10,14,0.796128871052937,14,0.17629981547006332,4.0
Condo/Co-op,FLUSHING,NY,11367,279999.0,2.0,1.0,Kew Terrace,850.0,1949.0,http://www.redfin.com/NY/Flushing/144-17-79th-Ave-11367/unit-2D/home/143867015,40.7189939,-73.8170923,72.0,608,13825,107,1682,37,35,20,4,0,96,394.0,38216.0,20384.04,10,14,0.7024504035094052,14,0.12627753342402875,4.0
Condo/Co-op,FLUSHING,NY,11367,295000.0,2.0,1.0,Kew Terrace,1002.4694280078895,1950.0,http://www.redfin.com/NY/Flushing/78-42-147th-St-11367/unit-2B/home/20640259,40.7194303,-73.81595809999997,71.0,608,13688,107,1682,37,35,20,4,0,96,394.0,38216.0,20384.04,10,14,0.7486471373319491,14,0.09908255478168364,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,300000.0,1.0,1.0,Hyde Park Gardens,943.4822134387352,1950.0,http://www.redfin.com/NY/Flushing/13705-Jewel-Ave-11367/unit-A/home/20653324,40.72956,-73.829193,71.0,1108,11631,107,1682,40,33,18,2,0,93,406.0,38216.0,20384.04,10,9,0.8852732904751955,7,0.44440635761935254,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,323000.0,2.0,1.0,Hyde Park Gardens,1002.4694280078895,1950.0,http://www.redfin.com/NY/Flushing/136-37-68th-Dr-11367/unit-A/home/63686441,40.7305584,-73.8311821,71.0,1108,12068,107,1682,44,33,18,2,0,97,424.0,38216.0,20384.04,10,9,0.9042590020274214,6,0.5690172256752659,4.0
Condo/Co-op,FLUSHING,NY,11367,318000.0,2.0,1.0,Flushing,800.0,1950.0,http://www.redfin.com/NY/Flushing/68-46-140th-St-11367/home/21453818,40.7307972,-73.8263944,71.0,608,11633,107,1682,39,33,17,2,0,91,400.0,38216.0,20384.04,10,9,1.0344532113601856,5,0.38797409790958226,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,329000.0,2.0,1.0,Joyce Equities,1002.4694280078895,1950.0,http://www.redfin.com/NY/Flushing/138-20-68th-Dr-11367/unit-A/home/23333971,40.7309131,-73.82782890000001,71.0,1108,11806,107,1682,39,34,17,2,0,92,403.0,38216.0,20384.04,10,9,1.0017865088525972,5,0.4440014073157364,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,335000.0,2.0,1.0,Regency Gardens,1002.4694280078895,1941.0,http://www.redfin.com/NY/Flushing/141-03-79th-Ave-11367/unit-3J/home/20643233,40.71820220000001,-73.8196787,80.0,1108,13886,107,1682,36,35,21,4,0,96,402.0,38216.0,20384.04,10,14,0.6253996472847195,13,0.2505807181194194,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,345000.0,3.0,1.0,Regency Gardens,975.0,1941.0,http://www.redfin.com/NY/Flushing/78-16-Main-St-11367/unit-3L/home/20650084,40.71946550000001,-73.81830579999998,80.0,1108,13667,107,1682,37,34,21,4,0,96,394.0,38216.0,20384.04,10,14,0.7208128332398505,14,0.19758548960095632,4.0
Condo/Co-op,FLUSHING,NY,11367,329000.0,2.0,1.0,Georgetown Mews,1000.0,1951.0,http://www.redfin.com/NY/Flushing/67-28-152nd-St-11367/unit-275A/home/20625667,40.733061,-73.8179104,70.0,608,11175,107,1682,38,36,19,3,0,96,460.0,38216.0,20384.04,7,8,1.4389016427118375,7,0.27421508919999,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,335000.0,2.0,1.0,Queens,1002.4694280078895,1940.0,http://www.redfin.com/NY/Flushing/141-03-79th-Ave-11367/unit-2K/home/169101886,40.71820220000001,-73.8196787,81.0,1108,13886,107,1682,36,35,21,4,0,96,402.0,38216.0,20384.04,10,14,0.6253996472847195,13,0.2505807181194194,4.0
Condo/Co-op,FLUSHING,NY,11367,330000.0,2.0,1.0,Dara Garden,1002.4694280078895,1956.0,http://www.redfin.com/NY/Flushing/150-20-71st-Ave-11367/unit-6/home/168661921,40.7287357,-73.81724270000002,65.0,608,11867,107,1682,37,34,19,4,0,94,431.0,38216.0,20384.04,9,9,1.223114399028614,12,0.12824909095144502,4.0
Condo/Co-op,FLUSHING,NY,11367,349000.0,0.0,1.0,Village Mall Hillcrest,413.0,1973.0,http://www.redfin.com/NY/Flushing/152-18-Union-Tpke-11367/unit-PHF/home/168405506,40.7187576,-73.8112931,48.0,608,13894,107,1682,36,32,20,4,0,92,371.0,38216.0,20384.04,9,13,0.8213830196773805,13,0.1654438180564872,4.0
Condo/Co-op,FLUSHING,NY,11367,365000.0,2.0,1.0,Kew Gardens Hill,850.0,1952.0,http://www.redfin.com/NY/Flushing/150-47-70th-Rd-11367/unit-21B/home/170156555,40.7306744,-73.81756920000002,69.0,608,10685,107,1682,37,35,18,4,0,94,446.0,38216.0,20384.04,9,9,1.324515903365936,11,0.1441421206161976,4.0
Condo/Co-op,FLUSHING,NY,11367,359000.0,2.0,1.0,Georgetown Mews,1002.4694280078895,1955.0,http://www.redfin.com/NY/Flushing/67-51-152nd-St-11367/unit-196B/home/59306699,40.7325685,-73.8168162,66.0,608,11160,107,1682,38,36,18,3,0,95,451.0,38216.0,20384.04,8,9,1.45675590119206,11,0.21725114731775452,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,359999.0,2.0,1.0,Kew Village,800.0,1950.0,http://www.redfin.com/NY/Flushing/7728-Vleigh-Pl-11367/unit-81B/home/20653213,40.7206442,-73.8204228,71.0,1108,13225,107,1682,37,34,19,4,0,94,388.0,38216.0,20384.04,10,14,0.700917527713318,13,0.3335493588930239,4.0
Condo/Co-op,FLUSHING,NY,11367,365000.0,2.0,1.0,Dara Garden,1000.0,1952.0,http://www.redfin.com/NY/Flushing/150-10-71st-Ave-11367/unit-5J/home/20631529,40.7285089,-73.8166755,69.0,608,12261,107,1682,37,34,19,4,0,94,431.0,38216.0,20384.04,9,11,1.2284181786741775,12,0.11448505305074178,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,359000.0,3.0,1.0,Regency Gardens,920.0,1940.0,http://www.redfin.com/NY/Flushing/14145-79th-Ave-11367/unit-1B/home/28684262,40.7186675,-73.81823790000001,81.0,1108,13860,107,1682,37,35,21,4,0,97,397.0,38216.0,20384.04,10,14,0.6671191509295972,14,0.17757159498710293,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,369000.0,2.0,1.0,Dara Gardens,1100.0,1958.0,http://www.redfin.com/NY/Flushing/150-15-72nd-Rd-11367/unit-6/home/167776752,40.7278975,-73.8171447,63.0,1108,12406,107,1682,38,34,19,4,0,95,434.0,38216.0,20384.04,9,12,1.1799700501371044,12,0.16224451865241662,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,375000.0,1.0,1.0,Regency Condo,943.4822134387352,1950.0,http://www.redfin.com/NY/Flushing/69-78-136th-St-11367/unit-B/home/169933167,40.727079499999995,-73.82941240000002,71.0,1108,11386,107,1682,40,32,19,2,0,93,406.0,38216.0,20384.04,10,10,0.7330373921456937,11,0.40087153832165673,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,379000.0,3.0,1.0,Hyde Park Gardens,1000.0,1950.0,http://www.redfin.com/NY/Kew-Gardens-Hills/68-8-138th-St-11367/unit-B/home/170226899,40.7315839,-73.8293199,71.0,1108,12427,107,1682,42,35,16,2,0,95,418.0,38216.0,20384.04,10,9,1.0073604644846519,3,0.5324600777476872,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,388000.0,2.0,1.0,Dara Gardens,1002.4694280078895,1950.0,http://www.redfin.com/NY/Flushing/150-20-71st-Ave-11367/unit-4C/home/20625276,40.7287357,-73.81724270000002,71.0,1108,11867,107,1682,37,34,19,4,0,94,431.0,38216.0,20384.04,9,9,1.223114399028614,12,0.12824909095144502,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,399000.0,3.0,1.0,Hyde Park Gardens,1498.909090909091,1950.0,http://www.redfin.com/NY/Flushing/135-19-Jewel-Ave-11367/unit-B/home/39598641,40.7282738,-73.8300743,71.0,1108,11201,107,1682,40,32,19,2,0,93,406.0,38216.0,20384.04,10,10,0.7851379836877261,7,0.4518801940165163,4.0
Condo/Co-op,FLUSHING,NY,11367,409000.0,3.0,1.0,High Park Gardens,1498.909090909091,1950.0,http://www.redfin.com/NY/Flushing/68-24-138th-St-11367/unit-A/home/40317623,40.7309977,-73.8289099,71.0,608,12335,107,1682,40,34,17,2,0,93,406.0,38216.0,20384.04,10,9,0.9801349757650145,3,0.4895643783603576,4.0
Condo/Co-op,FLUSHING,NY,11367,428000.0,1.0,1.0,Fleure De Lis,764.0,1963.0,http://www.redfin.com/NY/Flushing/15272-Melbourne-Ave-11367/unit-LF/home/20825695,40.733522,-73.815324,58.0,608,10891,107,1682,37,35,18,3,0,93,430.0,38216.0,20384.04,8,8,1.5537330370789615,8,0.26477440187669943,4.0
Condo/Co-op,FLUSHING,NY,11367,479000.0,1.0,1.0,Fleur De Lis,791.0,1963.0,http://www.redfin.com/NY/Flushing/15272-Melbourne-Ave-11367/unit-1H/home/20827531,40.733522,-73.815324,58.0,608,10891,107,1682,37,35,18,3,0,93,430.0,38216.0,20384.04,8,8,1.5537330370789615,8,0.26477440187669943,4.0
Condo/Co-op,FLUSHING,NY,11367,499000.0,1.0,1.0,Fleur De Lis Condo,791.0,1963.0,http://www.redfin.com/NY/Flushing/15272-Melbourne-Ave-11367/unit-5H/home/20827517,40.733522,-73.815324,58.0,608,10891,107,1682,37,35,18,3,0,93,430.0,38216.0,20384.04,8,8,1.5537330370789615,8,0.26477440187669943,4.0
Condo/Co-op,FLUSHING,NY,11367,499999.0,1.0,1.0,Village Mall,943.4822134387352,1973.0,http://www.redfin.com/NY/Flushing/152-18-Union-Tpke-11367/unit-209C/home/20822032,40.7187576,-73.8112931,48.0,608,13894,107,1682,36,32,20,4,0,92,371.0,38216.0,20384.04,9,13,0.8213830196773805,13,0.1654438180564872,4.0
Condo/Co-op,FLUSHING,NY,11367,544000.0,2.0,1.0,Regent,850.0,1960.0,http://www.redfin.com/NY/Flushing/7061-Park-Dr-E-11367/home/170270413,40.726009999999995,-73.8295693,61.0,608,11435,107,1682,38,32,19,2,0,91,403.0,38216.0,20384.04,10,10,0.6683384044192072,14,0.40700544322010246,4.0
Condo/Co-op,FLUSHING,NY,11367,538000.0,2.0,1.0,Regents Park Gardens,755.0,1960.0,http://www.redfin.com/NY/Flushing/7147-Park-Dr-E-11367/unit-B/home/163353218,40.7252789,-73.82757579999998,61.0,608,11682,107,1682,37,33,22,3,0,95,437.0,38216.0,20384.04,10,12,0.7009508635916947,14,0.31135256602367517,4.0
Condo/Co-op,FLUSHING,NY,11367,559000.0,1.0,1.0,Fleure De Lis,821.0,1963.0,http://www.redfin.com/NY/Flushing/15272-Melbourne-Ave-11367/unit-5C/home/20826135,40.733522,-73.815324,58.0,608,10891,107,1682,37,35,18,3,0,93,430.0,38216.0,20384.04,8,8,1.5537330370789615,8,0.26477440187669943,4.0
Condo/Co-op,FLUSHING,NY,11367,588888.0,2.0,2.0,Village Mall @ Hillcrest,900.0,1973.0,http://www.redfin.com/NY/Flushing/152-18-Union-Tpke-11367/unit-4D/home/167149736,40.7187576,-73.8112931,48.0,608,13894,107,1682,36,32,20,4,0,92,371.0,38216.0,20384.04,9,13,0.8213830196773805,13,0.1654438180564872,4.0
Condo/Co-op,FLUSHING,NY,11367,566000.0,2.0,1.0,Hillcrest Condo,880.0,1973.0,http://www.redfin.com/NY/Flushing/150-38-Union-Tpke-11367/unit-7T/home/20822957,40.718745899999995,-73.8112615,48.0,608,13894,107,1682,36,32,20,4,0,92,371.0,38216.0,20384.04,9,13,0.821713196410864,13,0.16445217881904395,4.0
Condo/Co-op,KEW GARDEN HILLS,NY,11367,638888.0,2.0,1.0,Regent's Park Gardens,755.0,1950.0,http://www.redfin.com/NY/Unknown/69-87-Park-Dr-E-11367/unit-A/home/147612530,40.7270535,-73.83018050000003,71.0,1108,11399,107,1682,40,32,19,2,0,93,406.0,38216.0,20384.04,10,10,0.7095393136884026,7,0.4406086518751352,4.0
Townhouse,FLUSHING,NY,11367,710000.0,2.0,2.0,Flushing,1189.2444649446495,1940.0,http://www.redfin.com/NY/Flushing/136-76-71st-Rd-11367/home/20830034,40.7264047,-73.8246585,81.0,608,11535,107,1682,37,34,20,3,0,94,434.0,38216.0,20384.04,11,12,0.8669015032951658,9,0.14922186901891069,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,705000.0,2.0,2.0,Kew Garden Hills,1189.2444649446495,1945.0,http://www.redfin.com/NY/Flushing/141-24-70th-Rd-11367/home/20826685,40.728141,-73.82372,76.0,1108,10921,107,1682,37,33,20,3,0,93,428.0,38216.0,20384.04,11,11,0.9836048339546073,10,0.15734058131755332,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,748000.0,3.0,1.0,Kew Garden Hills,1498.909090909091,1940.0,http://www.redfin.com/NY/Flushing/144-48-69th-Ave-11367/home/20826463,40.731614,-73.822383,81.0,1108,11616,107,1682,40,34,18,2,0,94,433.0,38216.0,20384.04,9,8,1.2063472385224712,7,0.36245546370668713,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,795000.0,3.0,2.0,Kew Garden Hills,1479.3079754601224,1950.0,http://www.redfin.com/NY/Flushing/144-34-68th-Dr-11367/home/20830183,40.732095,-73.823125,71.0,1108,11467,107,1682,40,34,18,2,0,94,433.0,38216.0,20384.04,9,9,1.2075158624201128,7,0.40039733743448913,4.0
Townhouse,FLUSHING,NY,11367,799000.0,3.0,2.0,Flushing,1479.3079754601224,1945.0,http://www.redfin.com/NY/Flushing/146-07-Reeves-Ave-11367/home/20831340,40.739936,-73.824225,76.0,608,12902,107,1682,39,34,14,2,0,89,414.0,38216.0,20384.04,9,7,1.3926499277913214,5,0.44825369942492954,4.0
Townhouse,FLUSHING,NY,11367,759000.0,3.0,2.5,Flushing,1682.4652173913046,1940.0,http://www.redfin.com/NY/Flushing/141-24-Union-Tpke-11367/home/20824773,40.717046,-73.818336,81.0,608,14268,107,1682,36,36,22,4,0,98,408.0,38216.0,20384.04,10,14,0.5562248293788996,14,0.19839502865016023,4.0
Townhouse,FLUSHING,NY,11367,778800.0,3.0,1.5,Flushing,1406.5691489361704,1952.0,http://www.redfin.com/NY/Flushing/136-12-64th-Rd-11367/home/20830269,40.737395,-73.829992,69.0,608,14180,107,1682,43,38,15,2,0,98,445.0,38216.0,20384.04,9,9,1.3255613279413385,4,0.6445942424941801,4.0
Townhouse,FLUSHING,NY,11367,758888.0,2.0,2.0,Flushing,1189.2444649446495,1950.0,http://www.redfin.com/NY/Flushing/138-17-64th-Ave-11367/home/20831969,40.7391176,-73.8275944,71.0,608,13973,107,1682,40,35,14,2,0,91,417.0,38216.0,20384.04,9,9,1.421373413561006,5,0.49919786220196927,4.0
Townhouse,FLUSHING,NY,11367,849000.0,3.0,2.0,Flushing,1479.3079754601224,1940.0,http://www.redfin.com/NY/Flushing/136-83-71st-Rd-11367/home/20830101,40.726813,-73.82478,81.0,608,11327,107,1682,37,34,20,3,0,94,431.0,38216.0,20384.04,11,11,0.8805690378846335,8,0.15837978869170843,4.0
Single Family Residential,FLUSHING,NY,11367,839900.0,3.0,2.5,Flushing,1682.4652173913046,1960.0,http://www.redfin.com/NY/Flushing/153-37-78th-Ave-11367/home/20819925,40.722474,-73.810591,61.0,608,13122,107,1682,35,30,19,4,0,88,359.0,38216.0,20384.04,9,12,1.057281653376131,11,0.20077442939749782,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,850000.0,3.0,2.5,Kew Garden Hills,1682.4652173913046,1940.0,http://www.redfin.com/NY/Flushing/140-07-68th-Dr-11367/home/20825936,40.731657,-73.82647800000002,81.0,1108,12040,107,1682,39,34,16,2,0,91,403.0,38216.0,20384.04,10,9,1.0821402613473141,5,0.43858697845123523,4.0
Townhouse,KEW GARDEN HILLS,NY,11367,848888.0,4.0,2.5,Kew Garden Hills,2150.9747899159665,1965.0,http://www.redfin.com/NY/Flushing/70-38-153rd-St-11367/home/20825852,40.7309109,-73.8161357,56.0,1108,10786,107,1682,37,35,18,4,0,94,437.0,38216.0,20384.04,8,9,1.3793614301991222,12,0.09910320648341396,4.0
