#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
340,11725,"40.840996, -73.280948","Commack, New York","29,412","2,979.12","#3,224"
341,14150,"42.997524, -78.878511","Tonawanda, New York","44,535","2,944.39","#3,271"
342,12183,"42.746893, -73.693861","Troy, New York","2,278","2,944.20","#3,272"
343,11735,"40.734243, -73.428600","Farmingdale, New York","32,159","2,925.28","#3,291"
344,12203,"42.678763, -73.845869","Albany, New York","32,866","2,913.19","#3,305"
345,11796,"40.729245, -73.099841","West Sayville, New York","3,835","2,902.73","#3,312"
346,11050,"40.839895, -73.693128","Port Washington, New York","28,545","2,880.49","#3,336"
347,11753,"40.788668, -73.541676","Jericho, New York","11,648","2,878.28","#3,342"
348,14225,"42.928824, -78.752459","Buffalo, New York","35,893","2,848.60","#3,379"
349,11779,"40.812431, -73.116108","Ronkonkoma, New York","39,321","2,844.32","#3,384"
350,14617,"43.224205, -77.594485","Rochester, New York","22,967","2,821.19","#3,417"
351,11804,"40.766708, -73.451812","Old Bethpage, New York","5,014","2,794.57","#3,439"
352,10965,"41.061482, -74.015910","Pearl River, New York","14,522","2,791.69","#3,441"
353,11790,"40.903592, -73.131054","Stony Brook, New York","18,374","2,775.54","#3,464"
354,12304,"42.771569, -73.895695","Schenectady, New York","20,969","2,772.23","#3,468"
355,13088,"43.108742, -76.186383","Liverpool, New York","22,139","2,742.59","#3,498"
356,14227,"42.886935, -78.730383","Buffalo, New York","24,573","2,740.38","#3,500"
357,11732,"40.852904, -73.537599","East Norwich, New York","3,804","2,737.67","#3,502"
358,11754,"40.886865, -73.245725","Kings Park, New York","18,847","2,728.64","#3,511"
359,11715,"40.749738, -73.034888","Blue Point, New York","4,407","2,723.33","#3,518"
360,11752,"40.755849, -73.173780","Islip Terrace, New York","9,881","2,711.74","#3,531"
361,13224,"43.031797, -76.100655","Syracuse, New York","9,052","2,711.69","#3,532"
362,10983,"41.031088, -73.947703","Tappan, New York","5,756","2,702.92","#3,543"
363,11746,"40.814268, -73.362276","Huntington Station, New York","62,828","2,697.38","#3,553"
364,11727,"40.880224, -73.002112","Coram, New York","25,603","2,696.83","#3,555"
365,14615,"43.204250, -77.657326","Rochester, New York","16,158","2,674.93","#3,581"
366,11951,"40.767062, -72.838578","Mastic Beach, New York","12,794","2,627.54","#3,634"
367,14904,"42.069428, -76.805553","Elmira, New York","16,862","2,619.31","#3,640"
368,10607,"41.039089, -73.811368","White Plains, New York","7,493","2,612.91","#3,646"
369,11030,"40.793409, -73.688549","Manhasset, New York","17,148","2,610.13","#3,647"
370,14068,"43.026309, -78.758472","Getzville, New York","10,027","2,593.06","#3,662"
371,13214,"43.040542, -76.076911","Syracuse, New York","8,764","2,578.47","#3,677"
372,11721,"40.892021, -73.370810","Centerport, New York","6,218","2,567.78","#3,691"
373,13116,"43.074754, -76.007939","Minoa, New York","3,351","2,557.51","#3,699"
374,11576,"40.803242, -73.637480","Roslyn, New York","11,810","2,536.16","#3,728"
375,14218,"42.817887, -78.824667","Buffalo, New York","20,203","2,531.91","#3,732"
376,11740,"40.865796, -73.363314","Greenlawn, New York","9,647","2,516.23","#3,750"
377,10706,"40.990222, -73.865543","Hastings On Hudson, New York","9,187","2,511.34","#3,760"
378,14305,"43.122642, -79.023024","Niagara Falls, New York","20,319","2,502.48","#3,769"
379,14622,"43.215549, -77.556449","Rochester, New York","12,027","2,441.99","#3,842"
380,10562,"41.192300, -73.833984","Ossining, New York","31,035","2,437.70","#3,848"
381,11742,"40.809944, -73.040545","Holtsville, New York","12,119","2,419.70","#3,868"
382,13417,"43.101278, -75.293446","New York Mills, New York","3,180","2,393.51","#3,904"
383,12189,"42.733036, -73.718976","Watervliet, New York","16,783","2,363.06","#3,954"
384,14303,"43.084094, -79.031636","Niagara Falls, New York","7,128","2,335.86","#3,979"
385,10591,"41.090097, -73.841014","Tarrytown, New York","21,590","2,321.65","#4,005"
386,12207,"42.658332, -73.746412","Albany, New York","2,187","2,297.57","#4,033"
387,11787,"40.852924, -73.211260","Smithtown, New York","34,794","2,258.42","#4,080"
388,14905,"42.087725, -76.843282","Elmira, New York","9,407","2,256.76","#4,082"
389,11705,"40.743277, -73.055841","Bayport, New York","8,007","2,248.98","#4,092"
390,14221,"42.984522, -78.722871","Buffalo, New York","51,448","2,247.52","#4,094"
391,11024,"40.816373, -73.743736","Great Neck, New York","7,564","2,245.55","#4,096"
392,14618,"43.112890, -77.557574","Rochester, New York","22,387","2,222.58","#4,126"
393,11769,"40.736277, -73.129837","Oakdale, New York","9,729","2,202.53","#4,149"
394,12601,"41.708174, -73.910203","Poughkeepsie, New York","43,130","2,179.49","#4,190"
395,10996,"41.393700, -73.972175","West Point, New York","7,126","2,178.17","#4,191"
396,10004,"40.691870, -74.014109","New York, New York","1,225","2,162.99","#4,213"
397,11020,"40.770007, -73.712974","Great Neck, New York","4,043","2,153.65","#4,227"
398,11791,"40.829724, -73.498525","Syosset, New York","24,445","2,151.50","#4,231"
399,11777,"40.949875, -73.061723","Port Jefferson, New York","9,025","2,080.21","#4,339"
400,13212,"43.127007, -76.129705","Syracuse, New York","20,878","2,047.08","#4,387"
401,12047,"42.782255, -73.727721","Cohoes, New York","18,167","2,043.44","#4,394"
402,10604,"41.052798, -73.736957","West Harrison, New York","10,430","2,034.57","#4,405"
403,10956,"41.156331, -73.994110","New City, New York","31,071","2,031.75","#4,408"
404,13090,"43.152537, -76.217092","Liverpool, New York","30,934","2,030.38","#4,409"
405,11697,"40.555681, -73.920688","Breezy Point, New York","4,226","2,029.93","#4,410"
406,14626,"43.216516, -77.710843","Rochester, New York","29,120","2,028.67","#4,412"
407,14224,"42.837826, -78.747935","Buffalo, New York","40,509","2,014.20","#4,428"
408,10523,"41.061817, -73.819281","Elmsford, New York","7,489","2,000.66","#4,447"
409,11559,"40.605480, -73.716208","Lawrence, New York","8,103","1,999.99","#4,448"
410,10580,"40.978942, -73.693320","Rye, New York","16,737","1,975.15","#4,478"
411,10594,"41.110366, -73.767887","Thornwood, New York","5,460","1,939.75","#4,540"
412,14219,"42.789589, -78.825966","Buffalo, New York","13,050","1,929.24","#4,555"
413,10533,"41.039478, -73.850709","Irvington, New York","7,464","1,897.03","#4,603"
414,14612,"43.266330, -77.676706","Rochester, New York","35,665","1,890.45","#4,618"
415,10989,"41.122955, -73.938031","Valley Cottage, New York","9,381","1,885.12","#4,623"
416,12205,"42.714984, -73.824289","Albany, New York","26,337","1,835.88","#4,702"
417,11730,"40.720680, -73.172384","East Islip, New York","16,050","1,833.81","#4,706"
418,11967,"40.805671, -72.879071","Shirley, New York","24,943","1,832.55","#4,710"
419,11788,"40.817677, -73.210123","Hauppauge, New York","16,836","1,803.33","#4,761"
420,11797,"40.820348, -73.472077","Woodbury, New York","9,005","1,782.14","#4,789"
421,10570,"41.127957, -73.790628","Pleasantville, New York","12,366","1,781.36","#4,791"
422,11763,"40.823551, -72.980284","Medford, New York","24,743","1,759.91","#4,818"
423,10984,"41.202903, -74.022265","Thiells, New York","2,298","1,736.36","#4,860"
424,12130,"42.442570, -73.658564","Niverville, New York",899,"1,733.37","#4,863"
425,11713,"40.773594, -72.945434","Bellport, New York","9,160","1,732.65","#4,865"
426,12303,"42.753534, -73.926481","Schenectady, New York","27,942","1,728.34","#4,877"
427,10976,"41.021423, -73.922172","Sparkill, New York","1,795","1,678.55","#4,950"
428,12466,"41.905034, -73.985610","Port Ewen, New York","3,101","1,674.28","#4,960"
429,14514,"43.122159, -77.810679","North Chili, New York","4,722","1,673.19","#4,964"
430,12543,"41.485123, -74.220417","Maybrook, New York","3,133","1,668.31","#4,972"
431,11733,"40.934181, -73.105889","East Setauket, New York","20,382","1,651.09","#4,991"
432,12204,"42.691525, -73.733797","Albany, New York","6,792","1,646.06","#5,001"
433,12309,"42.790136, -73.862338","Schenectady, New York","30,057","1,611.39","#5,063"
434,10048,"40.711665, -74.012417","New York, New York",55,"1,601.72","#5,079"
435,12211,"42.705608, -73.766085","Albany, New York","10,684","1,588.40","#5,097"
436,10511,"41.261063, -73.948349","Buchanan, New York","2,189","1,576.31","#5,115"
437,11743,"40.878517, -73.426767","Huntington, New York","41,566","1,559.41","#5,142"
438,11766,"40.935097, -73.015864","Mount Sinai, New York","9,365","1,558.49","#5,145"
439,11547,"40.830929, -73.643958","Glenwood Landing, New York",666,"1,555.33","#5,150"
440,13495,"43.114019, -75.271854","Yorkville, New York","2,271","1,535.45","#5,191"
441,12550,"41.539574, -74.057223","Newburgh, New York","52,084","1,526.83","#5,205"
442,10920,"41.153040, -73.938131","Congers, New York","8,937","1,501.97","#5,253"
443,11782,"40.753968, -73.099453","Sayville, New York","15,897","1,453.01","#5,328"
444,11934,"40.798359, -72.794297","Center Moriches, New York","6,539","1,449.89","#5,335"
445,13603,"44.035347, -75.804288","Watertown, New York","7,498","1,448.79","#5,337"
446,11778,"40.939095, -72.928456","Rocky Point, New York","11,514","1,447.04","#5,339"
447,11768,"40.910132, -73.324377","Northport, New York","21,676","1,444.73","#5,344"
448,12110,"42.750910, -73.775205","Latham, New York","20,463","1,437.10","#5,354"
449,14623,"43.087333, -77.641867","Rochester, New York","27,387","1,420.83","#5,385"
450,10548,"41.247875, -73.941802","Montrose, New York","4,076","1,403.00","#5,423"
451,14625,"43.150039, -77.505521","Rochester, New York","10,792","1,394.14","#5,437"
452,10464,"40.867099, -73.797609","Bronx, New York","4,634","1,389.08","#5,451"
453,10165,"40.752131, -73.978722","New York, New York",7,"1,388.41","#5,455"
454,10547,"41.308707, -73.855615","Mohegan Lake, New York","8,544","1,381.14","#5,472"
455,11702,"40.618005, -73.407877","Babylon, New York","14,975","1,376.33","#5,484"
456,14304,"43.100698, -78.948314","Niagara Falls, New York","30,960","1,374.18","#5,488"
457,10595,"41.087709, -73.785778","Valhalla, New York","7,482","1,373.58","#5,491"
458,13211,"43.104491, -76.116553","Syracuse, New York","6,425","1,326.58","#5,578"
459,14120,"43.079317, -78.842654","North Tonawanda, New York","43,144","1,324.90","#5,585"
460,14624,"43.128271, -77.731354","Rochester, New York","38,231","1,314.47","#5,604"
461,11780,"40.890431, -73.171453","Saint James, New York","14,920","1,299.60","#5,644"
462,12508,"41.495996, -73.953632","Beacon, New York","19,487","1,274.97","#5,708"
463,10925,"41.222743, -74.292681","Greenwood Lake, New York","4,986","1,274.28","#5,710"
464,14450,"43.088447, -77.415761","Fairport, New York","40,748","1,262.97","#5,726"
465,10994,"41.098072, -73.972649","West Nyack, New York","6,493","1,261.80","#5,728"
466,11747,"40.788528, -73.407298","Melville, New York","16,152","1,245.36","#5,771"
467,11953,"40.893285, -72.951799","Middle Island, New York","12,364","1,243.55","#5,775"
468,14051,"43.039886, -78.704186","East Amherst, New York","17,991","1,212.22","#5,852"
469,10913,"41.068258, -73.954975","Blauvelt, New York","5,076","1,207.75","#5,858"
470,12603,"41.675868, -73.864484","Poughkeepsie, New York","41,667","1,204.08","#5,869"
471,11716,"40.776697, -73.134857","Bohemia, New York","10,360","1,199.21","#5,881"
472,12182,"42.801006, -73.637646","Troy, New York","14,104","1,147.45","#5,981"
473,12803,"43.285467, -73.636150","South Glens Falls, New York","7,394","1,145.43","#5,984"
474,11764,"40.934197, -72.975160","Miller Place, New York","11,120","1,139.01","#5,996"
475,12084,"42.704563, -73.899429","Guilderland, New York","4,214","1,136.55","#6,001"
476,14228,"43.044371, -78.777335","Buffalo, New York","19,713","1,129.05","#6,020"
477,12045,"42.478837, -73.797553","Coeymans, New York",746,"1,125.11","#6,025"
478,10598,"41.286807, -73.798823","Yorktown Heights, New York","29,368","1,121.59","#6,032"
479,14526,"43.151464, -77.444396","Penfield, New York","19,789","1,120.06","#6,033"
480,11786,"40.944455, -72.886049","Shoreham, New York","5,883","1,118.01","#6,038"
481,12065,"42.854836, -73.787492","Clifton Park, New York","38,866","1,109.20","#6,053"
482,13905,"42.173847, -75.936413","Binghamton, New York","27,506","1,099.40","#6,074"
483,13615,"44.007217, -75.979240","Brownville, New York","1,027","1,099.36","#6,075"
484,12144,"42.627836, -73.717842","Rensselaer, New York","18,367","1,062.86","#6,174"
485,14075,"42.713252, -78.833315","Hamburg, New York","42,082","1,039.63","#6,229"
486,10950,"41.317294, -74.197530","Monroe, New York","38,791","1,005.04","#6,320"
487,10588,"41.316837, -73.829264","Shrub Oak, New York","2,006","1,003.06","#6,323"
488,14580,"43.217283, -77.444534","Webster, New York","43,824",996.63,"#6,339"
489,10541,"41.377000, -73.753830","Mahopac, New York","26,693",996.17,"#6,341"
490,14504,"42.967777, -77.233608","Manchester, New York","1,312",990.22,"#6,356"
491,11955,"40.809125, -72.816096","Moriches, New York","2,652",985.91,"#6,372"
492,14534,"43.056890, -77.521042","Pittsford, New York","30,270",979.31,"#6,390"
493,13209,"43.087539, -76.255166","Syracuse, New York","13,774",974.3,"#6,408"
494,10537,"41.355369, -73.879979","Lake Peekskill, New York","2,032",971.35,"#6,417"
495,11724,"40.856500, -73.452894","Cold Spring Harbor, New York","3,040",967.48,"#6,425"
496,14467,"43.043504, -77.618013","Henrietta, New York","8,738",964.8,"#6,435"
497,12590,"41.592556, -73.886853","Wappingers Falls, New York","33,523",959.35,"#6,450"
498,13039,"43.161395, -76.075729","Cicero, New York","14,562",958.02,"#6,454"
499,12471,"41.848432, -74.036220","Rifton, New York",174,953.9,"#6,464"
500,10589,"41.328630, -73.697168","Somers, New York","7,363",943.27,"#6,493"
501,12054,"42.608547, -73.864416","Delmar, New York","16,421",942.13,"#6,500"
502,10514,"41.172330, -73.768948","Chappaqua, New York","12,004",934.13,"#6,516"
503,10510,"41.138997, -73.834891","Briarcliff Manor, New York","9,963",933.06,"#6,519"
504,13760,"42.133387, -76.084713","Endicott, New York","43,954",923.88,"#6,538"
505,11970,"40.940660, -72.573108","South Jamesport, New York",319,921.8,"#6,544"
506,11042,"40.758295, -73.697102","New Hyde Park, New York",513,921.42,"#6,546"
507,13461,"43.077098, -75.587609","Sherrill, New York","3,179",917.67,"#6,562"
508,10520,"41.217976, -73.874882","Croton On Hudson, New York","12,590",912.65,"#6,569"
509,14085,"42.716594, -78.930821","Lake View, New York","5,565",908.42,"#6,583"
510,11771,"40.865967, -73.525877","Oyster Bay, New York","9,550",905.99,"#6,587"
511,12180,"42.748588, -73.599536","Troy, New York","52,907",902.72,"#6,593"
512,14134,"42.534609, -78.521861","Sardinia, New York",16,899.78,"#6,605"
513,10535,"41.335169, -73.793919","Jefferson Valley, New York",416,886.28,"#6,634"
514,12411,"41.878105, -74.038886","Bloomington, New York",382,877.54,"#6,656"
515,12449,"41.997728, -73.992872","Lake Katrine, New York","3,557",874.54,"#6,668"
516,11560,"40.880757, -73.588724","Locust Valley, New York","6,815",870.76,"#6,676"
517,11946,"40.881714, -72.536582","Hampton Bays, New York","12,802",868.65,"#6,682"
518,11944,"41.106515, -72.369487","Greenport, New York","3,705",865.29,"#6,694"
519,10507,"41.232590, -73.692641","Bedford Hills, New York","7,646",864.23,"#6,697"
520,10962,"41.050504, -73.960154","Orangeburg, New York","5,580",855.66,"#6,713"
521,11972,"40.818205, -72.701844","Speonk, New York",692,855.13,"#6,714"
522,11545,"40.824966, -73.581551","Glen Head, New York","12,073",851.05,"#6,720"
523,13492,"43.114604, -75.337680","Whitesboro, New York","11,555",847.9,"#6,727"
524,12553,"41.460880, -74.072198","New Windsor, New York","22,514",845.45,"#6,736"
525,13901,"42.185729, -75.879685","Binghamton, New York","20,106",844.85,"#6,741"
526,13413,"43.061560, -75.276199","New Hartford, New York","15,871",842.71,"#6,745"
527,14026,"42.942011, -78.689442","Bowmansville, New York",722,842.21,"#6,750"
528,10549,"41.203948, -73.718025","Mount Kisco, New York","15,327",841.96,"#6,751"
529,12524,"41.532263, -73.889150","Fishkill, New York","14,045",838.69,"#6,764"
530,14086,"42.905511, -78.629121","Lancaster, New York","28,516",822.99,"#6,816"
531,14441,"42.685829, -76.957555","Dresden, New York",344,807.3,"#6,862"
532,12456,"42.032997, -73.998278","Mount Marion, New York",653,797.12,"#6,897"
533,11792,"40.946438, -72.835507","Wading River, New York","7,156",795.19,"#6,902"
534,10567,"41.289545, -73.897030","Cortlandt Manor, New York","17,805",794.15,"#6,905"
535,13066,"43.032475, -76.000667","Fayetteville, New York","12,299",791.38,"#6,918"
536,11940,"40.809637, -72.759740","East Moriches, New York","4,347",783.63,"#6,963"
537,12188,"42.819962, -73.694056","Waterford, New York","10,610",778.96,"#6,978"
538,10970,"41.197670, -74.074130","Pomona, New York","9,222",769.23,"#7,005"
539,10901,"41.161496, -74.139021","Suffern, New York","21,760",753.54,"#7,056"
540,10501,"41.288104, -73.759211","Amawalk, New York",843,749.35,"#7,073"
541,12150,"42.880521, -74.052686","Rotterdam Junction, New York",836,716.15,"#7,191"
542,12520,"41.428017, -73.996195","Cornwall On Hudson, New York","2,918",708.65,"#7,228"
543,10992,"41.421990, -74.163800","Washingtonville, New York","9,367",706.82,"#7,238"
544,13319,"43.025796, -75.278313","Chadwicks, New York","1,018",706.15,"#7,242"
545,14127,"42.753763, -78.745385","Orchard Park, New York","27,762",701.75,"#7,261"
546,13031,"43.041401, -76.307912","Camillus, New York","14,977",692.38,"#7,290"
547,14048,"42.479105, -79.312833","Dunkirk, New York","16,097",681.58,"#7,330"
548,13834,"42.543366, -74.958799","Portlandville, New York",170,673.95,"#7,358"
549,10940,"41.446544, -74.478741","Middletown, New York","42,860",673.41,"#7,362"
550,12482,"42.271396, -73.960047","South Cairo, New York",452,662.82,"#7,404"
551,12518,"41.401437, -74.037497","Cornwall, New York","6,276",662.07,"#7,406"
552,12565,"42.248157, -73.645187","Philmont, New York","1,936",657.46,"#7,426"
553,11961,"40.893355, -72.877865","Ridge, New York","12,664",653.83,"#7,445"
554,14072,"43.017901, -78.962657","Grand Island, New York","18,621",651.42,"#7,455"
555,11960,"40.806462, -72.702460","Remsenburg, New York",822,643.58,"#7,481"
556,13502,"43.141264, -75.154707","Utica, New York","33,505",638.43,"#7,511"
557,13790,"42.165361, -76.001942","Johnson City, New York","19,713",620.49,"#7,578"
558,13057,"43.087662, -76.035448","East Syracuse, New York","14,845",611.01,"#7,625"
559,12302,"42.878182, -73.982505","Schenectady, New York","27,001",607.76,"#7,636"
560,12077,"42.588163, -73.777695","Glenmont, New York","5,719",598.61,"#7,678"
561,14586,"43.041661, -77.689956","West Henrietta, New York","6,197",577.94,"#7,760"
562,13062,"42.486498, -76.380690","Etna, New York",131,576.98,"#7,765"
563,12159,"42.651428, -73.885894","Slingerlands, New York","7,646",569.9,"#7,797"
564,14047,"42.687361, -78.986623","Derby, New York","6,833",564.44,"#7,818"
565,12401,"41.938565, -74.056809","Kingston, New York","35,722",557.66,"#7,859"
566,14092,"43.174537, -78.992002","Lewiston, New York","11,121",553.03,"#7,889"
567,10964,"41.017211, -73.913870","Palisades, New York","1,282",544.89,"#7,930"
568,12306,"42.805431, -74.044234","Schenectady, New York","24,581",541.45,"#7,947"
569,12866,"43.092690, -73.735445","Saratoga Springs, New York","34,570",532.87,"#7,993"
570,13664,"44.584961, -75.648193","Morristown, New York",340,530.4,"#8,003"
571,11719,"40.780748, -72.909617","Brookhaven, New York","2,965",523.77,"#8,041"
572,11947,"40.947855, -72.575934","Jamesport, New York",218,520.36,"#8,056"
573,14901,"42.087649, -76.746938","Elmira, New York","17,845",519.95,"#8,059"
574,11941,"40.828756, -72.718536","Eastport, New York","2,275",518.52,"#8,068"
575,11942,"40.850055, -72.587962","East Quogue, New York","3,981",515.64,"#8,080"
576,10546,"41.203621, -73.796171","Millwood, New York","1,224",515.55,"#8,081"
577,12486,"41.834702, -74.062603","Tillson, New York","1,595",513.43,"#8,094"
578,12008,"42.848917, -73.912735","Alplaus, New York",431,512.72,"#8,099"
579,13850,"42.049395, -76.017594","Vestal, New York","26,685",512.61,"#8,100"
580,10974,"41.154310, -74.200465","Sloatsburg, New York","3,183",512.05,"#8,108"
581,12538,"41.792345, -73.893141","Hyde Park, New York","12,653",511.18,"#8,113"
582,14721,"42.000558, -78.251649","Ceres, New York",102,505.7,"#8,140"
583,12198,"42.672453, -73.632704","Wynantskill, New York","7,295",497.34,"#8,178"
584,11568,"40.786513, -73.598478","Old Westbury, New York","3,992",494.55,"#8,197"
585,14031,"42.983128, -78.614262","Clarence, New York","8,769",491.89,"#8,209"
586,10577,"41.041731, -73.709727","Purchase, New York","3,454",491.15,"#8,215"
587,11971,"41.059912, -72.427282","Southold, New York","5,575",487.56,"#8,239"
588,10930,"41.361676, -74.113297","Highland Mills, New York","7,400",487.56,"#8,240"
589,13041,"43.192089, -76.192302","Clay, New York","9,818",486.95,"#8,243"
590,14850,"42.431831, -76.500228","Ithaca, New York","63,396",483.19,"#8,267"
591,13903,"42.041886, -75.889073","Binghamton, New York","19,282",475.42,"#8,306"
592,10509,"41.422360, -73.580154","Brewster, New York","18,913",470.16,"#8,339"
593,14701,"42.081025, -79.253512","Jamestown, New York","42,904",468.46,"#8,351"
594,10526,"41.294835, -73.662114","Goldens Bridge, New York","1,652",464.2,"#8,380"
595,10590,"41.255441, -73.539322","South Salem, New York","7,212",462.92,"#8,388"
596,11952,"41.001012, -72.543737","Mattituck, New York","4,680",460.63,"#8,408"
597,10928,"41.348970, -73.998495","Highland Falls, New York","5,358",460.33,"#8,410"
598,10917,"41.322562, -74.120871","Central Valley, New York","1,650",456.76,"#8,427"
599,12019,"42.945577, -73.834562","Ballston Lake, New York","13,320",456.07,"#8,435"
600,12586,"41.565744, -74.179081","Walden, New York","11,527",455.68,"#8,437"
601,14102,"42.835266, -78.563136","Marilla, New York","1,111",454.44,"#8,442"
602,14480,"42.839522, -77.708389","Lakeville, New York",641,451.18,"#8,456"
603,12804,"43.340954, -73.685911","Queensbury, New York","24,083",450.81,"#8,458"
604,11968,"40.905917, -72.415656","Southampton, New York","12,032",436.53,"#8,556"
605,12533,"41.561643, -73.787605","Hopewell Junction, New York","22,254",435.17,"#8,572"
606,13027,"43.173534, -76.365491","Baldwinsville, New York","29,108",434.72,"#8,576"
607,12061,"42.594948, -73.659578","East Greenbush, New York","7,872",433.02,"#8,590"
608,11901,"40.924693, -72.648656","Riverhead, New York","22,897",431.22,"#8,604"
609,12472,"41.849570, -74.076786","Rosendale, New York","1,654",430.29,"#8,609"
610,14425,"42.990428, -77.332531","Farmington, New York","9,658",429.51,"#8,614"
611,10536,"41.296920, -73.729864","Katonah, New York","10,612",428.51,"#8,618"
612,12513,"42.219307, -73.720481","Claverack, New York","1,043",427.87,"#8,625"
613,12901,"44.704021, -73.471148","Plattsburgh, New York","32,253",426.59,"#8,638"
614,12979,"44.987143, -73.375296","Rouses Point, New York","2,450",426.2,"#8,644"
615,10504,"41.134968, -73.698635","Armonk, New York","7,185",425.72,"#8,649"
616,10980,"41.258097, -74.030157","Stony Point, New York","12,670",423.53,"#8,662"
617,10921,"41.328266, -74.372269","Florida, New York","3,879",414.81,"#8,709"
618,11963,"40.989760, -72.315663","Sag Harbor, New York","6,664",411.57,"#8,728"
619,12771,"41.375285, -74.631515","Port Jervis, New York","13,847",408,"#8,753"
620,13215,"42.980793, -76.223386","Syracuse, New York","14,461",406.9,"#8,758"
621,14094,"43.157693, -78.702073","Lockport, New York","51,376",405.29,"#8,770"
622,10527,"41.321183, -73.769878","Granite Springs, New York","1,097",405.03,"#8,773"
623,11977,"40.844797, -72.694993","Westhampton, New York","2,143",404.86,"#8,775"
624,12027,"42.935415, -73.907816","Burnt Hills, New York","3,659",404.45,"#8,777"
625,10512,"41.447747, -73.709884","Carmel, New York","23,924",396.59,"#8,828"
626,11569,"40.608435, -73.590373","Point Lookout, New York","1,559",396.57,"#8,829"
627,13341,"43.036698, -75.397188","Franklin Springs, New York",54,394.32,"#8,851"
628,14555,"43.257062, -76.991465","Sodus Point, New York","1,287",393.57,"#8,854"
629,14006,"42.633073, -79.021726","Angola, New York","10,884",393.03,"#8,859"
630,10941,"41.491652, -74.344240","Middletown, New York","13,118",390.34,"#8,885"
631,14506,"43.002205, -77.505265","Mendon, New York","1,289",390.22,"#8,886"
632,13904,"42.128281, -75.801040","Binghamton, New York","9,619",387,"#8,910"
633,12563,"41.503887, -73.572979","Patterson, New York","7,252",383.81,"#8,937"
634,13638,"44.019032, -75.759378","Felts Mills, New York",363,382.81,"#8,953"
635,14750,"42.076991, -79.327748","Lakewood, New York","4,623",382.7,"#8,956"
636,14559,"43.189993, -77.819055","Spencerport, New York","15,919",382.66,"#8,958"
637,13838,"42.285099, -75.388127","Sidney, New York","4,956",380.5,"#8,975"
638,10931,"41.127584, -74.170333","Hillburn, New York",881,377.37,"#9,006"
639,12839,"43.354486, -73.553953","Hudson Falls, New York","11,945",374.62,"#9,025"
640,13440,"43.217344, -75.459735","Rome, New York","44,797",374.33,"#9,026"
641,12051,"42.344518, -73.828765","Coxsackie, New York","6,905",373.22,"#9,035"
642,14083,"42.677412, -78.440118","Java Village, New York",43,372.22,"#9,039"
643,13616,"44.032051, -75.870748","Calcium, New York","2,341",370.99,"#9,053"
644,11770,"40.644757, -73.160803","Ocean Beach, New York",190,367.09,"#9,080"
645,13126,"43.438798, -76.457454","Oswego, New York","36,454",364.78,"#9,095"
646,11949,"40.860476, -72.793791","Manorville, New York","11,385",362.11,"#9,111"
647,12020,"43.001948, -73.868841","Ballston Spa, New York","28,068",361.74,"#9,116"
648,12542,"41.613876, -74.015014","Marlboro, New York","5,818",359.54,"#9,134"
649,12570,"41.613737, -73.670422","Poughquag, New York","5,884",359.28,"#9,137"
650,11980,"40.831652, -72.923760","Yaphank, New York","4,221",358.25,"#9,146"
651,14903,"42.131632, -76.871851","Elmira, New York","7,600",358.23,"#9,147"
652,13357,"42.970962, -75.081183","Ilion, New York","11,555",353.35,"#9,191"
653,11939,"41.135116, -72.339675","East Marion, New York",777,353.18,"#9,194"
654,13021,"42.922181, -76.561464","Auburn, New York","41,704",344.08,"#9,257"
655,12118,"42.923768, -73.718177","Mechanicville, New York","11,767",340.76,"#9,281"
656,10918,"41.344192, -74.262177","Chester, New York","11,492",340.65,"#9,282"
657,14020,"43.001476, -78.214875","Batavia, New York","23,055",338.17,"#9,304"
658,14059,"42.835012, -78.642549","Elma, New York","8,937",337.86,"#9,308"
659,10963,"41.472208, -74.542990","Otisville, New York","4,660",335.94,"#9,324"
660,13421,"43.061915, -75.660092","Oneida, New York","13,192",335.89,"#9,325"
661,10578,"41.320276, -73.678991","Purdys, New York",661,331.7,"#9,359"
662,10519,"41.342055, -73.661095","Croton Falls, New York",156,329.62,"#9,383"
663,11948,"40.963769, -72.553554","Laurel, New York",903,329.36,"#9,385"
664,14420,"43.213653, -77.937505","Brockport, New York","19,307",327.81,"#9,395"
665,10924,"41.381005, -74.352471","Goshen, New York","12,308",325.11,"#9,424"
666,13748,"42.042579, -75.822521","Conklin, New York","4,067",325.07,"#9,425"
667,11935,"41.021223, -72.486958","Cutchogue, New York","3,444",324.13,"#9,437"
668,13313,"42.878248, -75.267671","Bridgewater, New York",620,324.08,"#9,439"
669,13029,"43.221243, -76.144434","Brewerton, New York","5,684",324.06,"#9,440"
670,13350,"43.061013, -74.986356","Herkimer, New York","9,878",324.06,"#9,441"
671,10506,"41.190889, -73.638479","Bedford, New York","5,537",320.81,"#9,475"
672,14760,"42.063776, -78.404837","Olean, New York","20,510",317.64,"#9,501"
673,11765,"40.881909, -73.553311","Mill Neck, New York",732,313.92,"#9,532"
674,11956,"40.976187, -72.466401","New Suffolk, New York",316,312.87,"#9,544"
675,12733,"41.727393, -74.606582","Fallsburg, New York","1,608",312.12,"#9,552"
676,10518,"41.277016, -73.602519","Cross River, New York","1,552",311.39,"#9,563"
677,14468,"43.290542, -77.808702","Hilton, New York","16,526",309.35,"#9,583"
